quantity,count
1,561
2,295
3,158
4,170
5,200
6,69
7,108
8,59
9,54
10,455
11,32
12,91
13,31
14,24
15,71
16,23
17,32
18,111
19,18
20,298
21,31
22,54
23,23
24,33
25,96
26,29
27,32
28,74
29,19
30,561
31,177
32,26
33,6
34,14
35,107
36,46
37,14
38,6
39,16
40,187
41,58
42,155
43,8
44,7
45,30
46,20
47,28
48,10
49,13
50,333
51,18
52,33
53,11
54,42
55,34
56,24
57,26
58,14
59,81
60,187
61,31
62,6
63,82
64,11
65,8
66,38
67,9
68,19
69,20
70,138
71,18
72,12
73,29
74,11
75,16
76,46
77,81
78,16
79,9
80,66
81,88
82,145
83,95
84,29
85,18
86,12
87,14
88,11
89,12
90,29
91,17
92,18
93,11
94,48
95,92
96,18
97,18
98,15
99,37
100,66892
101,4
102,3
103,4
104,5
105,4
106,6
107,11
108,127
109,3
110,3
112,1
113,106
114,2
115,3
116,6
117,2
118,3
119,2
120,4
121,6
122,4
123,5
124,2
125,3
126,1
127,4
128,6
129,4
130,1
131,2
132,2
134,3
135,2
136,99
137,3
138,4
140,4
141,1
142,1
143,2
144,3
146,1
148,2
149,7
150,3
151,3
153,4
154,4
155,2
156,1
157,2
158,1
162,2
164,1
166,1
168,2
169,1
171,1
172,1
175,3
176,2
177,4
179,1
180,1
183,2
185,2
186,1
188,1
190,1
191,2
192,3
193,1
194,6
195,3
196,1
198,6
199,1
200,3491
205,1
209,1
212,128
220,1
223,1
224,1
225,127
226,1
228,36
231,54
233,1
235,2
238,1
239,1
240,63
243,1
244,7
247,1
248,2
249,1
250,2
253,2
256,2
257,2
259,3
261,3
263,1
264,1
265,1
266,1
273,2
274,2
276,1
278,4
280,3
281,2
282,3
283,1
284,1
285,3
286,4
287,2
288,3
291,4
294,1
295,1
297,2
298,1
299,3
300,283
320,1
322,2
324,1
325,1
328,1
329,1
331,1
333,1
335,1
336,2
341,1
345,1
346,1
355,2
359,1
363,1
366,2
368,1
374,1
383,1
385,1
390,1
400,220
406,1
433,1
434,1
451,1
500,182
502,1
519,1
570,1
577,6
600,19
658,3
662,2
664,1
676,1
700,23
720,1
723,1
742,1
782,1
787,1
800,35
900,1
919,1
1000,19
1050,2
1200,1
1377,1
1400,1
1721,1
2000,44
2500,1
2600,1
81000,1
