quantity,count
1,1202
2,708
3,319
4,213
5,2176
6,168
7,130
8,108
9,164
10,2381
11,274
12,165
13,51
14,189
15,462
16,42
17,51
18,175
19,59
20,525
21,48
22,49
23,36
24,83
25,85
26,76
27,165
28,51
29,61
30,442
31,53
32,26
33,80
34,12
35,12
36,9
37,31
38,64
39,29
40,278
41,32
42,51
43,107
44,26
45,32
46,58
47,35
48,24
49,42
50,549
51,56
52,47
53,43
54,85
55,30
56,30
57,124
58,83
59,32
60,777
61,20
62,85
63,128
64,128
65,71
66,106
67,59
68,22
69,53
70,283
71,39
72,33
73,16
74,7
75,8
76,103
77,23
78,25
79,4
80,276
81,44
82,23
83,5
84,35
85,35
86,33
87,4
88,82
89,16
90,786
91,7
92,30
93,13
94,15
95,12
96,11
97,3
98,72
99,35
100,56024
101,3
102,3
103,16
104,4
105,4
106,4
107,14
108,4
109,3
110,3
111,3
112,2
113,7
114,6
115,4
116,1
117,2
118,2
119,2
120,3
121,4
122,27
123,13
124,5
125,8
126,14
127,11
128,6
129,3
130,5
131,15
132,2
133,19
134,6
135,9
136,7
137,6
138,3
139,4
140,27
141,3
142,3
143,8
144,6
145,3
146,2
147,5
148,8
149,18
150,54
151,18
152,8
153,4
154,4
155,8
156,2
157,7
158,7
159,6
160,6
161,11
162,5
163,4
164,11
165,12
166,13
167,9
168,9
169,5
170,10
171,7
172,8
173,25
174,8
175,12
176,12
177,5
178,8
179,3
180,3
181,9
182,10
183,5
184,12
185,8
186,7
187,3
188,4
189,3
190,3
191,3
192,2
193,2
194,3
196,4
197,12
198,4
199,4
200,1499
201,7
202,9
203,3
204,10
205,2
206,3
207,3
208,5
209,3
210,6
211,3
212,2
213,1
214,1
215,1
216,2
217,2
220,2
221,2
222,2
223,1
224,1
225,4
226,2
228,1
229,2
231,1
232,2
233,1
235,9
237,2
240,3
241,1
242,5
244,3
245,1
246,2
247,2
248,1
249,1
250,1
251,1
256,1
257,2
259,1
260,5
261,5
262,3
263,4
265,1
266,1
267,5
270,1
276,2
278,1
286,1
288,1
289,1
290,1
292,1
293,1
294,1
296,1
297,3
299,2
300,286
303,3
305,2
307,2
308,2
309,1
310,2
311,3
312,1
313,3
314,2
317,3
319,1
320,1
321,4
322,1
324,1
330,1
335,1
336,1
340,1
341,1
342,1
343,1
344,2
349,3
350,1
351,1
354,1
357,1
358,1
370,1
373,2
374,1
375,1
382,1
383,3
385,2
386,1
387,1
389,1
390,2
394,2
395,1
397,1
400,55
401,1
402,1
403,2
405,4
408,1
414,1
417,3
420,23
421,1
422,1
424,1
425,2
426,3
427,3
429,1
431,1
432,1
433,1
438,2
439,1
440,1
441,1
443,1
447,1
449,2
452,2
453,1
455,2
456,2
457,1
458,3
459,2
460,4
461,2
462,1
478,2
491,1
500,69
501,1
523,1
532,1
549,2
566,1
575,2
580,1
588,4
600,31
684,1
700,46
800,1
900,2
1000,51
1100,1
1500,1
2000,14
2500,1
4000,1
5000,1
