quantity,count
1,417
2,125
3,96
4,106
5,90
6,71
7,57
8,54
9,43
10,137
11,58
12,26
13,42
14,19
15,43
16,23
17,28
18,29
19,30
20,40
21,15
22,33
23,22
24,19
25,28
26,60
27,17
28,19
29,27
30,39
31,17
32,15
33,28
34,37
35,16
36,30
37,134
38,8
39,15
40,20
41,24
42,13
43,9
44,16
45,16
46,21
47,9
48,22
49,36
50,51
51,16
52,20
53,13
54,13
55,9
56,14
57,6
58,11
59,23
60,14
61,15
62,6
63,32
64,29
65,9
66,16
67,17
68,7
69,14
70,16
71,9
72,6
73,9
74,32
75,15
76,14
77,9
78,15
79,8
80,7
81,9
82,8
83,10
84,15
85,9
86,11
87,18
88,8
89,18
90,25
91,11
92,8
93,16
94,13
95,15
96,34
97,27
98,32
99,66
100,1530
102,1
103,1
104,2
105,1
107,2
108,1
109,2
110,1
111,1
114,1
118,1
119,1
120,1
122,1
126,1
127,1
130,2
132,1
133,1
136,1
142,1
144,1
148,1
151,1
152,1
154,2
155,1
160,2
163,1
165,1
169,1
170,1
172,1
174,1
175,1
180,1
186,1
188,1
190,1
192,1
196,1
200,43
244,1
254,1
274,1
300,5
357,1
389,1
400,1
571,1
591,1
600,2
1089,1
1900,1
