quantity,count
1,210
2,66
3,51
4,29
5,59
6,31
7,40
8,33
9,23
10,105
11,22
12,15
13,22
14,11
15,10
16,13
17,11
18,15
19,20
20,51
21,11
22,18
23,13
24,7
25,8
26,12
27,18
28,7
29,16
30,13
31,6
32,12
33,9
34,12
35,12
36,10
37,16
38,12
39,8
40,18
41,4
42,4
43,14
44,8
45,8
46,9
47,6
48,6
49,5
50,11
51,12
52,6
53,2
54,7
55,10
56,2
57,5
58,6
59,3
60,7
61,7
62,7
63,6
64,8
65,8
66,7
67,5
68,9
69,6
70,2
71,9
72,4
73,8
74,12
75,7
76,5
77,9
78,4
79,6
80,18
81,3
82,2
83,7
84,4
85,7
86,6
87,3
88,3
89,6
90,11
91,6
92,10
93,7
94,7
95,16
96,7
97,6
98,13
99,23
100,552
105,1
111,2
114,1
123,1
129,1
131,1
132,2
134,1
136,1
137,2
139,1
142,1
145,1
154,1
160,1
162,1
168,1
186,1
188,1
191,1
195,1
196,1
198,2
199,3
200,29
204,1
209,1
215,1
223,1
229,1
244,3
283,1
285,1
300,4
365,2
498,1
780,1
942,1
1083,1
