quantity,count
1,44
2,24
3,14
4,15
5,51
6,12
7,13
8,9
9,11
10,24
11,9
12,9
13,12
14,12
15,14
16,17
17,44
18,18
19,6
20,22
21,9
22,7
23,5
24,7
25,8
26,22
27,6
28,10
29,6
30,12
31,3
32,5
33,7
34,5
35,3
36,5
37,32
38,4
39,2
40,8
41,8
42,5
43,4
44,5
45,4
46,3
47,5
48,8
49,5
50,15
51,6
52,6
53,3
54,4
55,5
56,3
57,3
58,1
59,5
60,8
61,3
62,3
63,10
64,3
65,1
66,6
67,6
68,3
69,2
70,11
71,4
72,5
73,4
74,18
75,4
76,5
77,4
78,2
79,2
80,5
81,2
82,6
83,8
84,5
85,6
86,3
87,4
88,4
89,5
90,5
91,6
92,1
93,2
94,1
95,13
96,8
97,2
98,5
99,5
100,491
103,1
111,1
116,1
121,1
127,1
132,1
134,1
149,1
150,2
153,1
157,1
163,2
175,1
179,1
197,1
200,18
215,1
226,1
228,1
232,1
244,1
277,1
281,1
282,1
300,3
333,1
