distance_ticks,count
0,10378
1,2399
2,792
3,773
4,833
5,724
6,478
7,370
8,451
9,512
10,708
11,528
12,184
13,88
14,75
15,221
16,140
17,93
18,58
19,53
20,22
21,26
22,27
23,66
24,18
25,16
26,26
27,23
28,9
29,7
30,7
31,8
32,12
33,19
34,25
35,78
36,207
37,155
38,77
39,108
40,306
41,73
42,44
43,66
44,184
45,306
46,233
47,62
48,11
49,7
50,5
51,14
52,12
53,8
54,9
55,8
56,3
57,5
58,5
59,7
60,4
61,3
62,5
63,4
64,1
65,5
66,2
67,4
69,3
70,2
71,4
72,2
73,1
75,3
76,1
77,1
78,5
79,3
80,10
81,8
82,2
83,8
84,13
85,71
86,129
87,115
88,33
90,4
91,1
92,4
93,1
94,4
95,1
97,1
100,2
101,1
102,4
104,6
106,2
107,1
108,2
110,2
114,6
115,2
116,3
117,2
120,3
121,3
123,1
124,2
125,2
127,1
130,1
131,1
132,2
133,2
144,3
146,1
147,2
148,4
150,2
151,1
152,1
153,2
155,1
156,1
160,1
162,1
164,1
165,1
166,2
169,1
170,1
172,1
175,1
180,8
184,1
186,1
189,1
190,2
191,1
194,3
195,1
196,1
200,3
201,1
204,1
205,1
219,2
229,1
234,1
243,1
252,1
254,1
255,2
272,1
276,1
280,1
284,1
285,3
288,3
297,3
300,4
305,3
309,15
314,1
318,1
319,25
321,1
323,6
328,6
329,1
330,2
331,1
332,3
333,2
335,19
338,7
341,3
372,26
375,2
378,1
389,1
395,2
406,1
410,25
418,22
420,22
500,1
1142,1
1153,1
1230,1
1271,1
1342,1
