distance_ticks,count
0,3851
1,2677
2,825
3,391
4,247
5,196
6,193
7,194
8,140
9,138
10,115
11,109
12,95
13,105
14,75
15,78
16,75
17,60
18,60
19,64
20,57
21,60
22,49
23,68
24,61
25,71
26,39
27,52
28,37
29,65
30,47
31,45
32,38
33,46
34,18
35,38
36,41
37,38
38,42
39,24
40,23
41,31
42,32
43,23
44,25
45,26
46,17
47,17
48,18
49,16
50,14
51,15
52,18
53,16
54,16
55,13
56,8
57,13
58,16
59,14
60,7
61,7
62,8
63,14
64,11
65,16
66,7
67,9
68,12
69,12
70,18
71,13
72,12
73,9
74,15
75,16
76,15
77,12
78,7
79,7
80,4
81,10
82,5
83,11
84,6
85,11
86,10
87,24
88,21
89,13
90,12
91,14
92,10
93,7
94,5
95,10
96,8
97,2
98,12
99,6
100,8
101,6
102,4
103,9
104,3
105,2
106,3
107,4
108,5
109,1
111,5
112,2
113,1
114,4
115,4
116,3
117,1
118,7
119,1
120,1
123,2
124,3
126,3
129,2
130,2
132,2
133,3
134,4
135,1
136,1
138,3
139,2
140,3
142,5
143,3
144,4
145,5
146,3
147,5
148,6
149,7
150,4
151,3
152,6
153,13
154,4
155,8
156,5
157,8
158,8
159,9
160,10
161,24
162,25
163,23
164,23
165,23
166,56
167,138
168,168
169,217
170,137
171,32
172,19
173,14
174,18
175,13
176,17
177,25
178,6
179,12
180,18
181,21
182,24
183,18
184,14
185,17
186,28
187,38
188,52
189,132
190,161
191,109
192,109
193,166
194,298
195,259
196,110
197,87
198,115
199,104
200,59
201,27
202,18
203,6
204,10
205,20
206,13
207,16
208,21
209,17
210,8
211,2
212,10
213,8
214,13
215,7
216,9
217,9
218,12
219,8
220,6
221,6
222,11
223,4
224,2
225,2
226,4
227,2
228,5
229,5
230,6
231,7
232,2
233,1
234,2
235,2
236,5
237,5
238,4
239,2
240,3
241,1
243,1
245,1
252,1
253,1
255,2
258,3
259,1
260,1
261,2
266,1
269,1
270,1
272,1
275,1
277,1
279,1
288,1
289,2
296,1
299,1
304,1
308,1
313,2
317,1
318,1
321,1
324,1
330,1
331,2
333,4
335,2
336,1
341,1
347,1
348,2
354,3
355,2
356,4
357,1
359,1
360,2
362,1
367,1
368,1
369,1
370,1
371,2
380,1
381,2
382,5
383,1
386,2
387,1
388,1
389,1
390,1
393,1
395,5
396,2
398,3
399,1
400,2
401,4
402,3
403,1
404,1
405,1
406,5
407,7
408,7
409,5
410,6
411,4
412,7
413,6
414,4
415,6
416,4
417,5
418,5
419,3
420,6
421,8
422,4
423,8
424,3
425,5
426,6
427,3
428,10
429,6
430,4
431,4
433,1
434,5
435,10
436,12
437,16
438,13
439,45
440,46
441,76
442,74
443,111
444,174
445,189
446,197
447,92
448,51
449,48
450,29
451,17
452,23
453,14
454,6
455,11
456,3
457,6
458,6
459,5
460,2
461,9
462,3
463,7
464,4
465,5
466,3
467,1
468,9
469,3
472,2
473,4
474,1
476,1
480,3
481,1
482,1
490,1
504,1
505,2
506,2
509,4
512,1
515,3
517,3
519,1
521,2
522,3
523,1
524,2
527,1
531,3
535,3
540,2
541,1
544,1
554,3
555,1
561,1
564,1
568,1
570,1
577,1
579,2
589,1
593,3
594,1
598,1
600,3
601,1
611,2
615,2
622,1
623,2
642,1
647,3
654,1
656,1
657,1
659,1
664,1
665,2
668,1
669,2
679,1
681,1
687,3
688,1
696,1
699,1
703,1
722,1
725,1
732,1
739,1
748,1
762,1
763,1
771,1
773,1
782,1
783,1
784,5
788,3
791,1
798,1
802,4
805,3
810,1
819,1
828,1
829,1
830,1
833,1
838,2
840,1
841,1
843,1
850,1
851,1
856,1
857,1
861,1
885,1
887,1
895,1
905,1
916,1
925,1
929,1
930,1
947,1
952,1
961,3
967,6
973,1
975,1
987,1
996,1
998,1
999,1
1005,3
1006,1
1009,3
1022,1
1032,3
1069,1
1116,3
1120,1
1150,2
1180,3
1182,3
1208,3
1257,3
1349,1
1382,1
1396,2
1424,2
1472,1
1480,2
1498,3
1572,3
1586,1
1608,1
1622,1
1627,8
1638,18
1640,18
1651,1
1716,8
1757,17
1758,3
1777,1
1787,3
1809,1
1810,1
1843,1
1882,1
1883,3
1917,8
1945,1
1948,25
1959,3
1966,18
1971,17
2007,1
2031,3
2065,1
2066,8
2085,3
2099,1
2201,26
2237,2
2245,5
2260,1
2311,1
2577,4
3488,1
4118,1
5471,4
6291,1
6464,1
6474,1
