quantity,count
1,718
2,94
3,482
4,220
5,101
6,63
7,48
8,39
9,81
10,187
11,72
12,36
13,40
14,45
15,31
16,19
17,23
18,14
19,2
20,30
21,12
22,2
23,2
24,8
25,2
26,5
27,3
28,5
29,41
30,4
31,7
33,2
34,2
35,1
36,5
39,10
40,7
41,2
42,1
43,3
44,3
45,14
46,15
47,5
48,2
49,22
50,38
51,3
52,1
54,1
57,1
58,1
59,1
60,51
64,4
66,9
69,1
70,7
72,9
73,22
75,2
76,2
78,2
80,4
81,3
82,1
83,3
84,36
85,2
86,3
87,6
88,4
89,3
90,57
91,22
92,18
93,10
94,1
95,5
96,1
97,2
98,7
99,36
100,8944
114,1
116,1
117,6
130,1
131,3
133,7
135,1
140,1
150,4
153,1
160,1
162,4
169,1
182,1
190,2
191,1
192,15
195,1
198,1
200,360
204,1
208,1
242,2
298,1
300,114
400,120
500,27
502,1
529,1
600,4
617,1
1000,7
1350,1
3400,2
