distance_ticks,count
0,8396
1,3424
2,1042
3,743
4,816
5,502
6,395
7,319
8,240
9,318
10,300
11,167
12,59
13,35
14,44
15,114
16,167
17,184
18,149
19,166
20,181
21,172
22,50
23,23
24,26
25,39
26,28
27,15
28,19
29,13
30,44
31,86
32,112
33,104
34,76
35,50
36,19
37,11
38,4
39,5
40,12
41,10
42,5
43,6
44,15
45,6
46,6
47,1
48,6
49,3
50,1
51,4
53,4
54,6
55,2
56,4
57,1
59,2
62,2
63,1
64,1
65,1
66,1
68,3
69,2
70,1
71,1
72,1
73,2
74,1
77,1
78,3
79,1
80,3
81,4
84,1
86,1
87,4
88,2
89,2
91,2
94,3
95,28
96,11
97,7
98,26
99,8
100,1
102,2
112,1
120,4
124,2
132,12
151,3
154,1
158,1
162,2
164,23
165,9
178,3
193,13
194,1
195,1
196,2
197,31
210,1
292,1
424,1
