distance_ticks,count
0,25693
1,15065
2,5505
3,3181
4,2877
5,3061
6,2526
7,2473
8,2733
9,2796
10,2686
11,2480
12,2394
13,2466
14,2683
15,2357
16,1707
17,1377
18,1175
19,827
20,520
21,303
22,226
23,160
24,135
25,94
26,82
27,78
28,77
29,61
30,47
31,37
32,25
33,39
34,42
35,30
36,30
37,36
38,24
39,23
40,20
41,21
42,12
43,11
44,14
45,17
46,11
47,12
48,14
49,8
50,17
51,16
52,15
53,11
54,6
55,3
56,4
57,5
58,3
59,4
60,4
61,4
62,5
63,3
64,6
65,5
66,5
67,6
68,6
69,4
70,10
71,12
72,11
73,17
74,18
75,32
76,52
77,93
78,309
79,480
80,883
81,1176
82,929
83,676
84,202
85,80
86,71
87,111
88,224
89,480
90,505
91,479
92,163
93,92
94,131
95,146
96,216
97,337
98,482
99,594
100,591
101,258
102,102
103,71
104,28
105,25
106,8
107,5
108,3
109,4
110,1
111,1
113,3
114,2
115,4
118,1
119,4
120,5
121,1
122,1
124,1
125,2
126,1
127,2
129,3
130,1
131,2
132,2
133,1
134,1
136,1
137,1
139,1
140,1
141,1
142,3
143,2
145,2
146,3
148,1
149,1
151,1
152,1
153,1
155,1
156,1
158,2
159,1
160,3
161,1
162,3
164,3
166,1
167,1
168,1
169,1
170,3
171,1
172,2
173,1
174,2
175,7
176,19
177,53
178,104
179,107
180,206
181,207
182,223
183,196
184,107
185,82
186,62
187,38
188,18
189,16
190,11
191,4
192,3
193,3
194,2
195,2
196,2
197,1
199,2
200,1
202,2
204,1
206,1
207,1
208,1
210,1
211,1
212,1
213,3
215,3
216,2
217,1
218,2
219,2
220,4
221,1
226,2
231,4
232,1
235,1
254,1
259,1
263,2
264,1
265,3
266,1
268,1
269,2
271,1
283,1
291,1
293,2
295,1
298,2
318,2
324,1
325,1
328,2
334,1
356,1
361,1
370,1
379,2
399,1
400,1
410,1
412,1
423,2
427,1
436,1
440,2
461,1
463,1
475,1
482,1
518,1
546,1
565,1
590,2
593,1
594,1
595,2
596,2
598,1
599,1
604,1
670,1
673,1
689,2
701,1
705,1
722,3
738,3
739,1
742,1
751,1
761,1
762,1
764,1
777,23
780,2
781,7
785,16
789,14
791,19
792,4
808,3
824,1
868,1
895,10
900,3
955,1
990,1
996,1
1009,9
1176,1
1193,1
1194,4
1195,3
1196,2
1198,2
1199,1
1290,1
1546,1
1733,1
1789,1
1790,1
1970,1
2458,1
2585,1
2669,1
2964,1
3289,1
