quantity,count
1,792
2,213
3,160
4,157
5,612
6,121
7,79
8,136
9,234
10,904
11,49
12,125
13,56
14,122
15,201
16,58
17,45
18,112
19,392
20,409
21,26
22,26
23,43
24,29
25,74
26,47
27,40
28,176
29,53
30,480
31,19
32,24
33,11
34,22
35,14
36,24
37,13
38,17
39,15
40,126
41,8
42,32
43,6
44,88
45,16
46,13
47,20
48,7
49,12
50,212
51,12
52,6
53,29
54,8
55,9
56,13
57,28
58,16
59,27
60,28
61,8
62,18
63,16
64,27
65,19
66,14
67,12
68,11
69,12
70,36
71,9
72,23
73,19
74,12
75,31
76,14
77,16
78,8
79,9
80,25
81,4
82,17
83,19
84,6
85,6
86,10
87,18
88,9
89,14
90,13
91,10
92,18
93,14
94,15
95,4
96,9
97,9
98,45
99,15
100,84134
101,8
102,7
103,3
104,10
105,4
106,3
107,4
108,8
109,5
110,5
111,7
112,3
113,14
114,4
115,13
116,6
117,3
119,3
120,12
121,2
122,2
123,9
124,1
125,6
126,1
127,1
128,1
129,134
130,5
131,6
132,2
133,134
134,2
135,2
136,12
138,4
139,1
140,1
141,6
142,6
144,1
145,6
146,5
147,4
148,2
149,33
150,17
151,2
152,1
153,2
155,3
156,1
157,2
158,1
159,100
162,2
163,1
165,2
166,7
167,5
169,2
170,1
172,2
174,2
175,4
176,1
177,1
178,2
179,1
180,12
181,1
182,1
184,1
185,3
187,3
188,1
190,2
191,1
192,1
193,3
194,1
195,7
197,3
198,2
200,9695
206,2
210,1
213,1
218,1
220,1
223,1
228,1
230,1
238,1
242,1
245,1
250,23
260,1
270,1
273,1
275,1
281,1
291,3
300,1186
302,2
303,2
304,1
305,2
306,16
307,4
309,2
310,2
315,2
326,1
329,1
330,2
335,1
343,1
350,4
352,19
355,126
361,1
363,1
367,178
381,1
390,1
393,32
400,1396
402,1
403,1
410,1
416,2
419,27
420,1
424,1
427,2
429,1
430,1
437,1
443,2
450,1
474,39
480,1
484,3
488,1
500,290
512,1
525,1
540,1
546,1
560,1
576,2
600,63
650,1
667,2
700,84
712,1
746,2
800,80
844,1
850,2
900,28
1000,39
1010,1
1048,2
1050,2
1052,1
1055,1
1062,1
1070,1
1100,8
1109,1
1200,4
1286,1
1300,1
1310,1
1319,2
1380,1
1400,3
1474,1
1478,1
1500,9
1502,1
1515,1
1562,1
1600,3
1614,1
1700,6
1768,1
1769,1
1800,2
1827,1
1900,5
1940,1
2000,95
2021,1
2030,1
2100,2
2200,3
2300,3
2400,2
2422,2
2500,7
2600,2
2700,3
2800,1
2870,1
3000,15
3030,1
3096,1
3100,3
3200,1
3300,1
3500,1
3580,1
3600,1
4000,1
4800,1
5000,1
6600,1
9500,1
10000,3
