distance_ticks,count
0,1850
1,410
2,138
3,83
4,65
5,58
6,22
7,39
8,18
9,10
10,14
11,20
12,28
13,9
14,10
15,18
16,21
17,18
18,10
19,11
20,12
21,12
22,18
23,8
24,15
25,12
26,12
27,12
28,9
29,11
30,11
31,7
32,11
33,7
34,10
35,10
36,8
37,4
38,10
39,12
40,33
41,11
42,4
43,1
44,5
45,9
46,3
47,2
48,2
50,3
51,3
52,1
53,1
54,5
55,5
56,2
57,2
58,5
59,6
60,5
61,10
62,8
63,3
64,5
65,8
66,2
67,3
68,4
69,1
70,5
71,4
72,3
73,7
74,6
75,10
76,13
77,55
78,16
79,9
80,6
81,3
82,11
83,4
84,6
85,17
86,19
87,54
88,112
89,194
90,114
91,32
92,9
93,11
94,13
95,20
96,6
97,5
98,5
99,2
100,12
101,7
102,2
103,2
104,1
105,2
106,1
107,2
108,2
109,2
110,1
111,1
112,1
113,1
115,1
116,1
117,4
118,3
120,3
121,4
122,1
125,2
127,1
130,1
131,3
132,2
134,2
135,3
136,1
137,3
138,1
139,1
143,1
144,1
145,1
147,1
149,2
150,5
151,3
153,3
155,1
156,2
157,2
159,3
160,2
161,1
162,2
163,1
164,1
168,2
171,1
173,2
174,1
175,4
176,1
177,3
178,2
179,1
180,3
182,4
183,5
184,1
185,1
186,1
187,1
188,1
189,3
190,2
191,1
192,2
193,2
194,1
195,2
196,2
197,7
198,2
199,2
200,5
201,1
202,4
203,6
204,4
205,6
206,8
207,10
208,11
209,2
210,6
211,6
212,8
213,7
214,9
215,10
216,6
218,8
219,5
220,2
221,5
222,8
223,10
224,15
225,10
226,31
227,17
228,14
229,4
230,2
231,1
232,1
233,6
234,2
235,1
236,3
237,2
238,2
239,7
240,1
241,1
242,3
252,1
257,1
261,1
262,1
263,1
270,2
271,2
274,2
275,1
278,2
284,2
292,2
295,4
297,2
298,2
299,2
303,3
305,2
327,1
333,1
340,1
351,1
360,2
375,1
379,1
380,2
383,2
387,1
389,1
390,2
393,2
395,1
396,1
397,1
399,1
404,1
409,1
415,1
420,1
425,1
434,2
449,1
453,1
460,1
461,1
470,1
482,1
491,1
500,1
503,3
518,1
580,1
619,3
655,3
658,1
675,3
680,1
697,20
704,1
706,1
725,1
726,2
730,3
733,20
736,1
737,2
738,1
745,3
747,1
750,5
756,20
762,3
780,1
797,1
800,11
804,1
805,14
806,1
807,26
817,22
818,14
819,1
820,5
824,1
826,1
827,1
828,13
830,11
832,1
833,1
834,8
837,13
838,1
840,6
854,21
861,1
867,1
871,1
953,8
954,1
1097,2
1141,2
1373,2
1884,1
