quantity,count
1,18
2,9
3,10
4,4
5,14
6,8
7,2
8,3
9,11
10,18
11,10
12,3
13,2
14,6
15,2
16,2
17,1
18,5
19,6
20,10
21,3
22,5
23,2
24,1
25,4
26,19
27,2
28,1
29,10
30,6
31,1
32,3
33,1
34,2
35,7
36,1
37,2
38,3
39,1
40,6
41,6
42,4
43,5
44,1
45,1
46,2
47,2
48,4
49,3
50,11
51,3
52,5
53,1
54,2
55,2
57,3
58,2
59,5
60,1
61,2
62,1
65,5
66,2
68,1
69,2
70,2
71,6
72,1
73,2
74,6
75,2
77,3
78,3
80,6
81,2
82,1
83,2
84,3
86,1
89,1
90,6
91,3
93,2
95,3
97,1
98,1
99,5
100,513
102,1
103,1
109,1
113,1
116,1
119,1
123,1
129,1
130,1
135,1
137,1
143,1
144,1
151,1
157,2
160,1
165,1
171,1
177,1
191,1
196,1
200,63
201,1
204,1
205,1
207,1
220,1
235,1
267,1
300,12
313,1
324,1
356,1
392,1
400,10
490,1
499,1
500,2
593,1
600,1
703,1
800,3
900,1
915,1
945,1
947,1
962,1
1000,4
1004,1
1100,1
1110,1
1200,1
1288,1
1300,1
1609,1
1809,1
2000,1
3128,1
3750,1
9000,1
