quantity,count
1,1461
2,576
3,361
4,314
5,571
6,231
7,229
8,286
9,229
10,741
11,246
12,266
13,208
14,215
15,258
16,136
17,176
18,150
19,159
20,340
21,148
22,195
23,110
24,160
25,293
26,144
27,110
28,133
29,100
30,167
31,129
32,143
33,126
34,141
35,127
36,116
37,106
38,116
39,88
40,184
41,103
42,102
43,130
44,105
45,138
46,157
47,103
48,151
49,124
50,570
51,92
52,115
53,74
54,116
55,103
56,91
57,102
58,83
59,87
60,125
61,80
62,96
63,88
64,93
65,98
66,94
67,79
68,121
69,97
70,86
71,53
72,88
73,87
74,72
75,237
76,99
77,73
78,68
79,78
80,127
81,73
82,52
83,78
84,75
85,131
86,97
87,89
88,103
89,96
90,157
91,108
92,94
93,85
94,92
95,185
96,89
97,97
98,150
99,258
100,22489
101,36
102,17
103,24
104,15
105,30
106,18
107,21
108,20
109,23
110,28
111,23
112,20
113,25
114,23
115,24
116,12
117,12
118,11
119,15
120,26
121,24
122,16
123,18
124,12
125,16
126,6
127,9
128,15
129,17
130,16
131,25
132,25
133,14
134,12
135,19
136,22
137,15
138,19
139,15
140,15
141,10
142,12
143,11
144,14
145,14
146,21
147,13
148,12
149,19
150,70
151,15
152,20
153,13
154,17
155,14
156,10
157,9
158,7
159,17
160,19
161,9
162,11
163,10
164,12
165,15
166,9
167,14
168,14
169,15
170,12
171,9
172,11
173,15
174,7
175,17
176,15
177,14
178,15
179,7
180,36
181,14
182,7
183,14
184,7
185,10
186,19
187,13
188,23
189,21
190,28
191,13
192,23
193,10
194,17
195,27
196,13
197,10
198,19
199,22
200,3737
201,19
202,8
203,4
204,9
205,8
206,8
207,2
208,2
209,5
210,7
211,1
212,5
213,2
214,6
215,7
216,2
217,6
218,3
219,2
220,4
221,1
222,4
223,5
224,10
225,7
226,1
227,3
228,3
229,5
230,2
231,6
232,5
233,2
234,7
235,4
236,5
237,4
238,1
239,1
240,12
241,6
242,7
243,5
244,9
245,11
246,3
247,1
248,4
249,7
250,29
251,4
252,1
253,6
254,3
255,6
256,4
257,6
258,5
259,2
260,8
261,3
262,2
264,4
265,3
266,8
267,2
268,6
269,4
270,3
271,2
272,2
273,3
274,4
275,4
276,5
277,4
278,5
279,5
280,9
281,3
282,3
283,2
284,4
285,5
286,4
287,3
288,3
289,3
290,7
291,1
292,8
293,9
294,6
295,12
296,4
297,5
298,8
299,14
300,1069
301,5
302,3
304,3
305,5
306,5
308,2
309,4
310,2
311,1
312,3
314,2
315,5
316,1
317,2
318,2
319,2
320,4
321,2
322,5
323,1
324,1
325,1
326,6
327,1
328,2
329,2
331,4
332,6
333,1
334,1
335,2
336,2
337,2
338,3
339,3
340,8
341,2
342,5
343,2
344,4
345,1
346,2
347,1
348,2
349,2
350,10
352,5
353,2
354,2
356,2
357,3
358,1
359,1
360,3
361,2
364,3
365,3
367,1
368,3
370,2
371,3
372,2
373,4
374,1
375,2
376,1
377,2
379,1
380,4
381,1
382,2
383,3
384,3
385,2
386,3
388,4
390,6
391,4
392,1
394,1
395,4
396,5
397,3
398,5
399,4
400,532
402,1
404,1
405,2
407,2
408,2
409,1
412,1
413,2
415,2
416,1
417,1
420,2
423,1
424,1
425,1
426,2
427,2
430,4
431,3
432,3
435,1
436,1
438,1
439,1
440,1
441,2
442,4
443,1
445,4
447,2
448,1
450,2
451,3
452,4
454,1
456,3
458,1
460,5
462,1
464,2
465,1
466,1
468,4
469,2
470,1
471,1
473,2
474,3
475,1
476,2
477,1
478,2
479,1
480,2
481,1
483,2
485,1
486,2
490,5
491,2
492,3
495,2
496,2
500,271
501,1
502,1
503,1
506,1
509,1
512,1
513,1
514,3
515,1
520,1
524,1
525,1
526,1
527,2
528,1
529,2
530,1
537,1
539,1
542,1
543,1
544,1
545,1
550,1
551,1
552,1
553,1
555,3
558,1
559,2
562,1
564,1
566,1
567,1
569,1
570,2
572,2
573,1
574,2
575,1
578,1
579,1
581,1
583,1
584,1
586,1
588,1
589,2
590,2
591,2
596,1
598,2
599,1
600,149
603,1
604,1
605,2
609,2
610,1
611,1
618,1
626,1
629,1
630,2
635,1
636,1
644,1
648,1
650,3
651,1
656,1
659,3
665,1
672,1
674,1
678,3
679,2
684,1
692,1
694,1
695,1
696,2
698,2
699,1
700,67
701,3
703,1
707,2
708,2
710,2
713,1
725,1
733,1
734,2
738,1
742,2
745,1
746,1
748,1
749,1
750,1
753,1
757,1
761,1
762,1
768,1
771,1
774,1
777,1
783,1
784,1
786,1
788,1
793,1
795,2
799,1
800,53
801,1
802,1
811,1
818,2
819,1
822,1
827,1
828,1
834,1
839,1
876,1
877,1
881,1
882,1
886,1
896,1
900,40
907,1
911,1
912,1
915,2
916,1
917,1
919,1
922,1
925,1
938,1
939,2
943,1
950,1
953,1
954,1
961,1
980,1
985,1
989,1
995,1
998,2
1000,69
1002,1
1010,2
1012,1
1063,1
1074,1
1077,1
1080,1
1083,1
1089,1
1100,15
1110,1
1116,1
1148,1
1160,1
1165,1
1189,1
1195,1
1200,12
1211,1
1215,1
1266,1
1268,1
1285,1
1300,5
1320,1
1356,2
1360,2
1371,2
1400,8
1410,1
1446,1
1469,1
1500,8
1532,1
1568,1
1574,1
1600,3
1629,1
1653,1
1790,1
1855,1
1874,1
1899,1
1900,1
1907,1
1914,1
1966,1
2000,10
2002,1
2200,1
2300,2
2597,1
2647,1
2700,1
2742,1
2900,2
3000,1
3210,1
3436,1
3488,1
3800,1
3817,1
4000,1
4490,1
4890,1
5000,3
9081,1
9400,1
