quantity,count
1,170
2,31
3,20
4,17
5,208
6,18
7,2
8,8
9,7
10,51
11,7
13,11
14,6
15,27
16,13
17,12
18,30
19,9
20,27
21,8
22,11
23,12
24,3
25,27
26,5
27,11
28,9
29,16
30,22
31,4
32,8
33,7
34,5
35,34
36,13
37,7
38,2
39,3
40,20
41,4
42,7
43,7
44,1
45,24
46,3
47,4
48,2
49,3
50,15
51,7
52,1
53,1
54,2
55,6
56,1
58,1
60,3
61,1
63,3
64,1
65,2
66,15
67,1
68,1
70,11
71,6
72,4
73,4
74,3
76,1
77,7
78,1
80,6
81,2
82,12
84,3
85,1
88,1
90,1
93,4
94,1
95,1
96,1
97,1
99,11
100,6171
107,1
108,1
109,1
117,1
123,1
127,3
136,1
137,3
144,2
148,2
150,1
154,1
158,1
169,1
172,1
191,1
192,7
196,1
200,291
201,2
238,1
250,1
253,1
300,56
375,1
400,38
431,1
466,1
500,8
600,15
700,25
800,18
1000,1
2500,3
