quantity,count
1,131
2,31
3,63
4,28
5,35
6,13
7,17
8,20
9,16
10,404
11,8
12,56
13,18
14,26
15,109
16,20
17,24
18,23
19,15
20,135
21,19
22,11
23,17
24,15
25,23
26,12
27,28
28,46
29,45
30,874
31,8
32,3
33,4
34,9
35,9
36,15
37,7
38,40
39,24
40,30
41,10
42,5
43,21
44,8
45,8
46,6
47,6
48,17
49,8
50,169
51,12
52,5
53,2
54,7
55,8
56,10
57,19
58,6
59,14
60,97
61,20
62,32
63,5
64,12
65,6
66,6
67,7
68,3
69,9
70,127
71,20
72,1
73,5
74,14
75,2
77,4
78,4
79,4
80,14
81,5
82,9
83,4
84,2
85,7
86,23
87,10
88,14
89,1
90,12
91,3
92,5
93,9
94,10
95,28
96,19
97,17
98,21
99,25
100,26143
101,1
102,3
104,1
107,5
108,6
110,3
111,1
118,1
120,4
125,1
126,1
129,1
132,5
135,2
138,2
142,1
143,1
144,1
145,3
150,6
152,1
161,1
166,1
167,3
169,1
173,1
175,1
180,3
189,1
190,1
194,3
195,1
200,1224
213,62
224,1
236,1
240,21
243,16
246,2
249,50
250,1
251,24
260,1
268,7
273,1
275,1
278,1
284,24
287,26
290,1
292,1
299,37
300,648
309,1
315,1
317,1
331,1
350,1
361,2
376,1
377,1
397,1
400,635
401,17
409,11
500,181
535,2
550,1
563,2
570,1
575,1
600,321
671,2
672,3
700,48
750,1
796,2
797,2
798,1
800,75
900,73
1000,80
1100,41
1200,6
1300,13
1400,4
1500,8
1700,1
2000,20
2500,1
2600,1
