distance_ticks,count
0,57252
1,26579
2,9132
3,5914
4,5778
5,7792
6,7658
7,5927
8,7193
9,4712
10,3281
11,2295
12,1412
13,844
14,610
15,461
16,354
17,252
18,251
19,189
20,193
21,163
22,140
23,112
24,120
25,115
26,97
27,122
28,336
29,184
30,333
31,98
32,60
33,37
34,25
35,30
36,32
37,31
38,20
39,19
40,24
41,70
42,223
43,195
44,257
45,144
46,42
47,55
48,281
49,212
50,271
51,121
52,38
53,15
54,10
55,12
56,13
57,18
58,18
59,17
60,11
61,18
62,114
63,159
64,233
65,547
66,249
67,290
68,30
69,8
70,10
71,8
72,7
73,15
74,15
75,8
76,14
77,8
78,7
79,7
80,14
81,4
82,6
83,4
84,11
85,4
86,8
87,7
88,19
89,9
90,10
91,9
92,8
93,5
94,7
95,11
96,5
97,8
98,7
99,4
100,2
101,5
102,1
103,4
105,1
106,1
108,3
109,2
110,3
111,1
114,1
116,1
118,1
120,1
123,1
124,1
125,5
129,1
131,1
134,1
136,41
137,1
139,1
142,1
145,3
146,2
147,1
148,1
153,1
154,2
156,2
157,1
158,1
165,3
166,1
167,41
170,1
176,1
178,2
179,1
180,2
181,7
183,1
185,40
186,1
187,1
188,1
189,1
191,1
196,1
198,1
199,1
200,1
201,1
202,1
204,2
209,1
210,1
211,2
212,1
213,1
214,1
215,2
216,2
217,4
218,1
219,1
220,1
221,2
223,9
226,1
230,4
241,2
248,1
255,1
256,1
260,3
271,32
272,9
317,1
322,10
337,2
338,39
341,1
368,1
376,1
377,1
391,1
414,1
426,1
428,39
431,2
449,1
470,39
506,1
658,1
868,1
1624,1
2109,1
