quantity,count
1,105
2,63
3,63
4,25
5,150
6,131
7,38
8,47
9,39
10,154
11,480
12,52
13,53
14,129
15,103
16,30
17,43
18,32
19,18
20,207
21,29
22,119
23,48
24,24
25,69
26,25
27,41
28,38
29,46
30,135
31,67
32,87
33,53
34,83
35,92
36,121
37,67
38,44
39,44
40,224
41,73
42,105
43,93
44,102
45,118
46,67
47,59
48,58
49,64
50,757
51,59
52,121
53,51
54,58
55,70
56,117
57,88
58,32
59,72
60,77
61,56
62,22
63,61
64,35
65,41
66,91
67,33
68,57
69,30
70,103
71,22
72,45
73,43
74,68
75,25
76,59
77,59
78,33
79,22
80,51
81,80
82,42
83,45
84,34
85,27
86,29
87,97
88,37
89,29
90,67
91,63
92,59
93,106
94,86
95,142
96,122
97,192
98,123
99,141
100,122988
101,8
102,10
103,5
104,3
105,10
106,3
107,7
108,6
109,4
110,9
112,2
113,10
114,5
115,3
116,10
117,2
118,4
119,6
120,2
121,6
122,3
123,8
124,4
125,5
126,1
127,1
128,1
131,3
132,2
133,4
135,8
136,6
137,4
138,7
140,4
141,5
142,2
143,1
144,3
145,1
146,1
147,2
148,6
149,2
150,10
151,1
152,1
153,1
154,1
155,3
156,3
158,3
159,4
160,3
161,2
162,1
163,24
164,2
165,2
166,8
167,1
168,7
169,1
170,10
171,1
172,3
173,8
174,2
175,3
176,3
177,1
178,4
179,6
180,5
181,7
182,2
183,7
184,5
185,8
186,8
187,6
188,4
189,3
190,9
191,15
192,4
193,3
194,7
195,3
196,8
197,8
198,12
199,2
200,9578
201,3
202,3
203,7
206,3
207,3
208,7
209,4
210,9
211,2
212,1
213,2
214,4
215,5
216,3
217,1
218,8
219,1
220,2
221,5
222,3
223,8
224,4
225,2
226,2
227,5
228,12
229,5
230,1
231,5
232,5
233,7
234,4
235,4
236,2
237,1
238,5
239,1
240,8
241,2
242,1
243,2
244,5
245,6
247,4
248,11
249,6
250,7
251,2
252,3
253,3
254,3
255,3
256,5
257,3
258,3
259,4
260,2
261,9
262,1
263,4
264,2
265,2
266,3
267,2
268,5
269,6
270,3
273,1
274,2
275,2
276,5
277,2
278,1
279,2
280,3
281,2
282,3
283,3
284,2
285,1
286,2
287,1
290,2
292,6
293,1
294,5
295,2
297,2
298,2
300,4592
301,1
303,3
304,1
305,2
306,2
307,1
309,2
310,2
311,1
312,2
314,3
315,2
318,10
319,1
320,1
322,1
324,1
325,1
328,1
329,2
330,1
333,1
335,6
336,2
337,1
338,1
342,3
345,1
346,2
348,14
349,1
350,3
351,1
353,1
354,1
355,1
357,1
358,2
360,1
362,2
363,2
365,5
366,1
368,1
370,1
371,1
374,1
377,1
379,5
380,2
381,1
383,2
387,2
390,2
391,1
393,3
394,1
395,1
396,1
399,4
400,3083
401,4
402,1
403,1
404,1
405,1
407,1
412,2
417,1
419,1
420,3
423,2
428,1
429,1
434,1
435,1
436,1
442,2
443,1
444,2
445,1
448,2
449,2
450,1
453,2
455,3
457,1
458,2
460,1
461,1
463,1
467,2
468,3
469,1
470,1
471,2
473,2
474,1
476,1
477,2
484,1
485,1
487,1
490,2
498,2
500,1812
503,1
505,1
508,1
512,1
513,1
516,1
517,1
518,1
519,1
520,1
524,1
528,1
529,1
533,1
537,2
544,1
548,3
550,2
551,2
553,3
554,1
555,1
559,1
574,3
576,3
578,1
579,3
583,1
597,3
600,1758
604,1
606,2
607,2
610,5
613,1
614,3
616,2
617,8
618,1
619,6
621,1
623,4
624,3
629,3
631,1
632,3
634,2
639,1
644,2
645,4
649,1
651,1
655,1
657,1
659,1
660,1
666,2
669,8
670,2
671,1
674,1
675,3
676,1
677,1
678,1
685,2
686,2
688,1
689,1
694,3
695,2
698,1
700,760
702,1
705,3
706,1
707,1
708,1
709,1
711,1
713,1
714,2
720,2
721,1
724,1
725,1
726,2
728,13
731,1
732,8
734,1
735,1
736,1
741,1
750,1
755,1
758,1
759,2
762,1
764,1
765,2
769,1
770,1
774,1
779,1
789,2
795,5
797,2
800,1175
801,2
809,1
829,1
831,3
834,1
839,1
844,1
852,1
861,1
874,5
880,2
882,1
890,1
897,1
898,305
900,661
901,2
903,7
908,6
913,1
917,1
920,1
931,12
943,1
951,1
971,1
974,5
990,1
1000,1946
1007,1
1028,1
1036,1
1041,2
1042,1
1044,1
1058,1
1062,1
1063,1
1073,1
1100,535
1165,1
1199,1
1200,557
1241,1
1274,2
1300,502
1373,1
1400,408
1439,1
1446,1
1450,1
1460,1
1479,1
1496,1
1500,535
1508,1
1523,1
1579,1
1600,35
1676,1
1679,1
1681,1
1700,105
1779,1
1800,9
1824,1
1900,19
1963,1
1979,1
2000,247
2079,1
2100,74
2179,1
2200,143
2227,1
2270,1
2291,1
2300,146
2309,1
2400,137
2439,1
2500,263
2540,1
2600,152
2700,67
2702,1
2800,3
2825,1
2900,2
3000,34
3017,1
3055,1
3100,2
3103,1
3200,44
3300,1
3307,1
3377,1
3400,2
3472,1
3500,21
3600,1
3698,1
3781,1
3800,1
3900,3
4000,28
4089,1
4137,1
4200,8
4300,4
4354,1
4500,11
4600,7
4630,1
4700,1
5000,33
5028,1
5172,1
5200,25
5266,1
5300,2
5504,1
5600,1
5787,1
5799,1
5952,1
6000,1
6100,1
6300,18
6338,1
6896,1
7000,20
7200,1
7500,1
7800,1
7936,1
8700,1
8800,23
9300,1
9400,1
10000,1
10700,1
11250,4
12100,1
16131,1
17634,1
20000,3
24900,1
