quantity,count
1,976
2,461
3,219
4,245
5,210
6,120
7,101
8,107
9,92
10,229
11,90
12,73
13,76
14,82
15,92
16,73
17,60
18,71
19,74
20,159
21,43
22,56
23,42
24,57
25,64
26,80
27,55
28,65
29,57
30,82
31,42
32,46
33,82
34,34
35,35
36,42
37,215
38,45
39,32
40,52
41,36
42,26
43,35
44,26
45,50
46,34
47,23
48,35
49,35
50,191
51,24
52,26
53,25
54,31
55,38
56,18
57,26
58,15
59,23
60,36
61,26
62,23
63,56
64,23
65,21
66,27
67,30
68,20
69,19
70,33
71,34
72,33
73,26
74,62
75,29
76,26
77,14
78,28
79,19
80,29
81,29
82,27
83,8
84,23
85,29
86,45
87,22
88,22
89,19
90,42
91,18
92,26
93,37
94,28
95,29
96,37
97,39
98,64
99,92
100,2933
101,4
102,5
103,1
104,3
105,3
107,3
108,4
109,4
111,1
112,4
113,1
114,1
116,2
117,2
118,2
119,3
120,2
122,1
123,3
124,3
125,3
128,1
130,1
132,2
133,3
134,1
135,3
136,4
137,2
138,3
139,1
140,2
141,4
142,2
143,2
144,1
145,2
146,2
149,2
150,2
152,3
153,1
154,1
159,1
160,1
161,2
162,1
163,3
164,2
165,2
166,1
169,1
170,2
171,1
172,2
176,1
179,1
180,1
183,1
184,5
185,1
187,2
188,1
190,3
196,3
197,2
198,1
199,4
200,113
201,1
202,1
203,1
204,2
206,1
210,1
213,1
215,1
224,1
226,1
228,1
240,1
242,1
244,1
250,1
254,1
256,1
268,1
286,1
299,3
300,27
302,1
330,1
337,1
348,2
352,1
369,1
370,1
374,1
378,1
379,1
391,1
397,1
400,11
437,1
453,1
466,1
483,1
487,1
499,1
500,9
519,1
550,1
557,1
600,6
601,1
700,1
710,1
756,1
800,1
900,1
947,1
954,1
970,1
990,1
1000,4
1599,1
2400,1
