quantity,count
1,825
2,355
3,211
4,130
5,816
6,94
7,179
8,254
9,65
10,356
11,15
12,31
13,18
14,10
15,98
16,11
17,18
18,18
19,8
20,51
21,5
22,7
23,27
24,17
25,92
26,37
27,17
28,39
29,36
30,204
31,31
32,6
33,8
34,8
35,8
36,6
37,8
38,11
39,2
40,40
41,3
42,8
43,22
44,37
45,12
46,9
47,11
48,3
49,3
50,115
51,4
52,5
53,7
54,4
55,11
56,16
57,4
58,6
59,10
60,53
61,2
62,12
63,4
64,8
65,6
66,6
67,2
68,26
69,16
70,27
71,8
72,36
73,13
74,9
75,7
76,5
77,1
78,5
79,5
80,4
81,2
82,8
83,8
84,15
85,5
86,3
87,1
88,4
89,3
90,6
91,9
92,11
93,52
94,5
95,7
96,2
97,3
98,6
99,40
100,20572
101,2
102,2
103,38
105,1
106,5
107,1
108,11
110,1
111,1
112,1
113,1
114,1
115,2
116,2
117,1
118,3
119,2
120,4
121,2
123,1
124,3
125,81
126,1
127,2
129,5
130,2
133,2
134,2
135,1
136,2
137,1
139,1
140,2
142,19
143,6
144,1
145,2
146,31
147,4
148,1
149,1
150,11
153,2
159,1
160,1
162,28
164,1
165,1
170,8
172,83
176,4
177,4
179,4
189,2
191,1
194,2
196,13
198,3
200,1791
206,2
210,1
214,1
218,98
220,32
235,1
240,1
247,1
250,4
251,1
253,1
257,1
271,1
278,2
283,1
292,1
300,413
322,1
380,1
383,4
386,8
391,1
400,68
443,5
452,2
485,2
487,1
497,1
500,91
506,1
509,11
524,1
550,1
569,1
577,1
580,1
600,33
609,4
643,1
654,5
700,25
800,79
879,1
900,8
992,1
1000,25
1100,1
1400,1
1700,1
1800,1
2000,51
2187,1
3200,1
4092,1
4919,1
6392,1
