distance_ticks,count
0,760
1,418
2,80
3,65
4,82
5,233
6,28
7,23
8,32
9,46
10,35
11,28
12,22
13,19
14,48
15,21
16,35
17,46
18,19
19,19
20,18
21,63
22,30
23,10
24,12
25,13
26,8
27,10
28,15
29,4
30,6
31,5
32,3
33,9
34,15
35,9
36,24
37,23
38,11
39,18
40,17
41,25
42,337
43,20
44,57
45,10
46,4
47,29
48,52
49,51
50,23
51,5
52,6
53,16
54,3
55,2
56,2
57,1
58,3
59,2
60,3
62,1
63,2
64,3
65,2
67,6
68,1
69,3
70,4
71,3
72,3
73,3
76,4
77,4
78,3
79,5
80,3
81,8
82,22
83,14
84,13
85,21
86,23
87,6
88,4
89,5
90,5
91,7
92,1
93,1
94,1
95,1
96,7
97,4
98,2
99,1
100,1
101,2
102,2
103,1
105,2
106,1
108,3
110,3
111,1
112,4
113,1
114,1
115,1
116,3
117,1
121,1
125,1
126,6
128,3
129,1
131,2
136,3
137,4
138,1
142,2
143,5
144,4
146,3
147,1
150,1
156,1
158,1
159,3
160,7
161,2
163,2
165,1
169,2
170,3
174,1
176,1
179,1
181,1
186,5
192,3
195,1
196,1
197,2
198,2
199,2
202,1
211,1
213,1
214,2
215,2
218,1
220,1
224,2
226,1
228,1
229,1
230,1
231,2
238,3
239,2
242,1
243,1
250,1
258,3
279,3
281,2
283,1
289,3
296,1
299,5
300,3
301,5
305,4
315,1
319,12
320,6
322,3
324,1
325,4
328,5
329,4
331,12
338,5
340,12
342,6
347,1
349,16
350,1
354,1
359,5
362,5
363,12
366,1
370,5
381,5
383,8
388,1
394,1
404,1
436,3
439,2
444,2
469,5
482,1
511,3
553,2
726,1
