quantity,count
1,1223
2,544
3,546
4,254
5,366
6,257
7,236
8,285
9,129
10,815
11,315
12,835
13,195
14,147
15,141
16,164
17,269
18,93
19,115
20,152
21,108
22,57
23,85
24,102
25,81
26,54
27,69
28,80
29,67
30,98
31,62
32,88
33,292
34,64
35,55
36,67
37,41
38,124
39,72
40,63
41,65
42,63
43,113
44,153
45,276
46,411
47,404
48,533
49,408
50,467
51,213
52,123
53,79
54,68
55,68
56,38
57,76
58,43
59,69
60,74
61,60
62,76
63,55
64,34
65,42
66,31
67,50
68,50
69,24
70,55
71,56
72,50
73,51
74,195
75,141
76,70
77,93
78,37
79,65
80,61
81,56
82,71
83,32
84,60
85,41
86,40
87,41
88,24
89,40
90,41
91,22
92,34
93,56
94,40
95,29
96,58
97,44
98,41
99,324
100,53818
101,4
102,24
103,4
104,11
105,25
106,2
107,3
108,11
109,5
110,4
111,9
112,10
113,9
114,38
115,2
116,21
117,1
118,5
119,4
120,12
121,2
122,5
123,3
125,4
126,3
127,2
128,3
129,1
130,3
132,1
134,2
135,2
136,2
137,5
138,2
139,1
140,20
141,1
142,3
143,8
144,5
145,15
146,1
148,1
150,21
151,5
152,3
153,2
154,6
156,1
157,2
159,2
160,11
161,5
162,12
163,18
164,15
165,1
167,2
168,2
171,5
172,2
173,1
174,1
175,6
176,1
177,4
180,5
182,5
183,1
184,3
185,1
186,8
187,1
189,7
190,4
193,8
194,3
195,1
196,1
197,4
198,10
199,7
200,2463
201,45
202,24
208,1
211,4
218,1
228,2
232,1
233,1
235,1
236,1
249,1
254,4
263,2
264,1
269,1
272,1
276,1
282,4
285,1
287,1
296,1
300,733
302,1
308,1
312,1
318,4
324,1
325,2
327,4
329,2
332,1
334,1
337,1
341,1
345,5
350,2
356,4
360,1
368,1
382,1
393,3
394,1
399,3
400,213
402,1
406,1
427,1
466,3
468,1
500,96
518,2
600,7
700,20
720,5
726,2
753,1
800,21
891,3
900,9
1400,3
1769,1
1782,4
2000,56
2800,1
