distance_ticks,count
0,17574
1,8232
2,4062
3,2014
4,1219
5,893
6,766
7,608
8,390
9,359
10,350
11,286
12,324
13,237
14,188
15,139
16,150
17,113
18,75
19,74
20,70
21,67
22,46
23,35
24,42
25,44
26,29
27,47
28,34
29,31
30,23
31,25
32,33
33,23
34,24
35,26
36,28
37,23
38,29
39,45
40,174
41,230
42,207
43,164
44,31
45,24
46,33
47,39
48,89
49,296
50,399
51,319
52,72
53,10
54,13
55,9
56,11
57,9
58,10
59,9
60,13
61,5
62,7
63,9
64,6
65,18
66,27
67,57
68,199
69,268
70,321
71,245
72,79
73,28
74,24
75,12
76,16
77,20
78,22
79,31
80,52
81,67
82,87
83,154
84,313
85,387
86,334
87,165
88,38
89,13
90,14
91,7
92,4
93,1
94,1
96,1
98,3
99,2
100,8
101,1
102,3
103,1
108,4
109,6
110,5
111,5
112,2
113,2
114,1
115,3
116,3
118,3
120,2
121,3
122,5
123,1
124,2
125,1
127,1
128,1
129,1
130,2
131,1
132,3
133,3
134,4
135,2
136,3
137,1
138,2
139,2
140,2
143,1
144,1
149,1
151,1
158,2
159,1
161,10
165,2
166,1
167,2
168,1
169,1
173,1
174,1
175,1
177,1
180,1
181,2
182,1
183,1
184,2
185,1
186,4
188,1
189,2
191,1
193,5
194,18
195,24
196,33
197,62
198,110
199,230
200,241
201,320
202,224
203,135
204,74
205,49
206,51
207,38
208,20
209,12
210,9
211,7
212,12
213,7
214,5
215,3
216,4
217,3
220,1
222,2
224,3
225,4
237,2
238,2
240,2
241,1
243,1
244,1
246,2
247,1
248,1
253,1
254,2
260,1
261,1
271,1
272,1
273,2
274,1
276,1
280,1
297,1
303,1
312,1
316,3
322,1
325,3
329,1
330,1
331,2
341,1
343,1
347,1
358,3
364,3
369,3
371,1
372,2
378,1
395,7
396,1
398,22
399,7
403,22
405,1
409,7
413,1
419,1
422,1
425,1
433,1
436,1
445,3
449,2
472,1
480,1
482,20
483,8
487,9
488,20
492,1
495,13
502,1
511,1
522,2
530,1
532,2
533,1
540,2
557,2
647,1
718,3
730,3
733,2
760,1
771,3
781,28
785,1
793,28
795,1
803,29
833,1
856,19
865,1
869,7
897,5
933,1
1033,1
1081,1
1133,2
1189,1
1233,1
1522,1
1657,1
2305,1
2859,1
12372,1
