distance_ticks,count
0,2956
1,1474
2,311
3,207
4,221
5,159
6,160
7,127
8,146
9,237
10,126
11,116
12,89
13,93
14,80
15,74
16,72
17,89
18,82
19,66
20,57
21,53
22,59
23,54
24,50
25,55
26,50
27,39
28,58
29,40
30,42
31,36
32,51
33,39
34,65
35,51
36,55
37,48
38,79
39,68
40,106
41,72
42,49
43,58
44,65
45,126
46,140
47,130
48,119
49,241
50,321
51,372
52,203
53,95
54,56
55,44
56,42
57,64
58,37
59,28
60,18
61,19
62,17
63,15
64,21
65,19
66,15
67,11
68,14
69,18
70,13
71,13
72,12
73,21
74,14
75,14
76,7
77,10
78,7
79,8
80,16
81,7
82,9
83,18
84,11
85,15
86,10
87,9
88,13
89,16
90,20
91,22
92,17
93,18
94,9
95,16
96,19
97,13
98,20
99,26
100,22
101,22
102,19
103,14
104,20
105,12
106,13
107,13
108,13
109,25
110,24
111,26
112,39
113,59
114,78
115,50
116,63
117,49
118,32
119,33
120,22
121,24
122,17
123,10
124,11
125,2
126,14
127,14
128,10
129,10
130,17
131,10
132,33
133,21
134,12
135,11
136,11
137,11
138,5
139,11
140,9
141,2
142,8
143,6
144,3
145,3
146,6
147,4
148,3
149,1
150,7
151,6
152,4
153,6
154,6
155,1
156,1
157,5
158,3
159,3
160,7
161,2
162,1
163,2
164,9
165,3
166,2
167,2
168,3
170,4
171,5
172,3
173,4
174,5
176,5
177,1
178,6
179,4
181,5
182,4
183,4
185,2
186,2
187,6
188,4
190,2
194,2
195,3
196,4
197,4
198,4
200,5
201,6
202,2
203,3
204,7
205,1
206,2
207,4
209,4
210,1
211,2
212,1
213,3
216,3
217,1
218,1
219,1
220,3
222,1
223,1
224,2
225,1
226,3
227,1
228,1
229,1
234,2
235,1
236,2
238,1
239,1
240,1
241,1
242,2
245,2
246,3
247,1
248,1
249,1
250,1
251,1
253,1
256,4
257,1
258,2
259,1
263,1
264,2
265,1
269,3
273,1
284,1
288,1
304,2
305,1
306,13
308,3
315,1
319,1
326,1
336,1
341,1
346,3
347,15
348,3
349,3
350,1
352,4
357,3
358,1
366,1
368,2
369,2
377,1
382,13
384,14
388,11
392,12
395,4
397,1
398,1
400,3
401,2
402,3
406,20
408,13
409,3
412,1
416,7
422,3
432,28
433,18
435,1
437,3
439,15
442,1
443,18
444,3
445,18
451,34
455,16
457,3
470,8
472,8
480,11
481,9
487,8
489,8
494,8
507,3
518,3
528,7
529,3
571,1
574,2
19998265,1
