distance_ticks,count
0,4673
1,244
2,180
3,114
4,133
5,157
6,129
7,87
8,122
9,213
10,108
11,133
12,153
13,112
14,128
15,156
16,113
17,133
18,75
19,91
20,96
21,54
22,77
23,35
24,28
25,24
26,32
27,22
28,22
29,29
30,26
31,15
32,25
33,34
34,24
35,32
36,39
37,41
38,61
39,67
40,67
41,57
42,47
43,92
44,109
45,121
46,40
47,72
48,171
49,460
50,293
51,51
52,19
53,19
54,18
55,16
56,19
57,19
58,16
59,12
60,15
61,6
62,15
63,6
64,6
65,8
66,11
67,10
68,16
69,6
70,3
71,13
72,17
73,13
74,9
75,7
76,9
77,5
78,7
79,12
80,4
81,7
82,7
83,5
84,5
85,12
86,11
87,15
88,11
89,12
90,16
91,10
92,6
93,2
94,9
95,3
96,13
97,6
98,4
99,14
100,10
101,7
102,12
103,10
104,14
105,22
106,24
107,14
108,23
109,37
110,51
111,79
112,122
113,110
114,95
115,55
116,41
117,21
118,5
119,5
120,8
121,5
122,7
123,6
124,5
125,4
126,7
127,6
128,1
129,4
130,1
133,1
134,2
135,1
136,2
137,2
140,3
141,3
142,7
143,2
144,2
145,2
146,2
147,3
148,1
150,2
151,2
154,4
155,2
156,2
157,1
158,1
159,1
160,2
161,1
162,4
163,2
164,3
165,6
166,3
167,2
168,3
172,4
173,2
174,1
175,1
176,1
177,1
182,1
184,2
185,2
188,1
189,2
190,1
191,1
192,1
194,1
195,2
198,2
201,1
204,1
205,2
208,2
209,2
210,1
211,1
212,1
215,1
219,1
225,2
226,1
227,1
228,1
248,1
256,1
258,1
260,1
261,1
265,3
268,1
276,2
279,3
280,3
283,13
284,1
297,4
298,2
299,1
300,1
301,8
306,3
309,1
311,1
312,14
314,3
315,1
321,1
324,1
325,1
333,1
342,3
343,15
349,2
350,1
351,17
354,3
356,1
359,15
365,4
366,1
373,5
375,1
377,4
378,2
380,2
387,5
389,1
393,2
396,4
397,5
399,3
400,2
401,2
409,13
412,7
417,2
424,7
425,1
428,2
432,2
440,3
442,16
444,1
446,1
449,2
450,1
455,16
466,3
469,16
473,14
496,1
524,1
534,1
538,1
543,1
546,1
549,1
573,1
596,1
598,1
616,1
628,3
631,1
646,1
649,1
658,1
678,1
693,1
698,1
723,1
728,1
789,1
826,1
922,1
960,1
1079,1
1101,1
1224,1
1251,1
1290,1
1350,1
1372,1
1387,1
1545,1
1627,1
1640,1
