quantity,count
1,75
2,18
3,23
4,55
5,183
6,7
7,2
8,196
9,8
10,44
11,4
12,62
13,10
14,26
15,36
16,17
17,13
18,5
19,12
20,25
21,6
22,1
23,4
25,10
26,10
27,2
28,4
29,5
30,100
31,1
33,2
35,14
40,1
41,5
42,2
43,1
45,5
46,2
47,48
49,12
50,18
52,5
53,3
54,2
55,4
56,8
58,1
59,1
60,11
62,18
65,2
66,1
67,1
69,4
70,18
74,1
75,1
79,1
80,11
82,6
85,2
88,2
89,6
90,14
93,2
95,4
96,115
98,8
99,8
100,9991
101,1
104,1
106,1
110,1
116,2
118,1
125,3
131,2
132,1
135,1
150,6
156,1
158,1
163,4
172,1
178,1
181,1
189,2
194,1
198,2
200,952
211,1
250,2
260,1
275,76
287,1
300,118
340,1
350,1
375,1
382,1
394,1
400,31
406,1
415,1
450,38
485,2
500,37
600,74
650,31
700,121
707,1
750,3
800,63
900,43
1000,3
1200,3
1216,2
1400,1
1794,2
