quantity,count
1,120
2,14
3,16
4,3
5,33
6,4
7,4
8,2
9,1
10,7
11,2
12,3
13,2
14,3
15,3
16,4
17,4
18,7
19,4
20,6
21,1
22,20
24,3
25,3
26,1
27,2
28,6
30,1
31,3
33,1
34,2
35,1
36,1
37,1
38,2
40,13
41,1
42,6
43,4
44,2
45,3
46,1
47,4
48,2
49,1
50,5
51,1
52,1
53,3
54,1
55,2
56,1
57,3
58,3
59,1
60,9
65,1
66,1
67,1
69,3
70,1
71,1
72,1
73,1
75,1
76,2
77,1
78,1
80,3
81,1
83,1
84,1
85,4
86,2
87,1
88,1
90,2
91,3
92,1
93,1
94,2
95,2
96,1
97,1
98,6
99,4
100,110
101,1
109,1
112,1
115,1
121,1
132,1
139,1
140,1
145,1
148,1
150,1
151,1
155,1
165,1
166,1
178,1
183,1
194,1
195,2
199,1
200,12
205,1
240,1
272,1
300,1
400,2
450,1
500,1
