quantity,count
1,827
2,291
3,136
4,138
5,108
6,53
7,78
8,35
9,55
10,136
11,41
12,36
13,32
14,31
15,66
16,39
17,22
18,23
19,25
20,68
21,14
22,13
23,14
24,19
25,36
26,31
27,15
28,19
29,21
30,33
31,16
32,11
33,14
34,14
35,9
36,11
37,25
38,11
39,6
40,23
41,4
42,27
43,17
44,17
45,13
46,9
47,16
48,15
49,16
50,23
51,10
52,10
53,19
54,13
55,8
56,5
57,10
58,12
59,7
60,9
61,3
62,8
63,21
64,6
65,6
66,6
67,7
68,9
69,9
70,10
71,6
72,10
73,5
74,17
75,12
76,3
77,8
78,7
79,5
80,4
81,6
82,2
83,8
84,11
85,13
86,7
87,16
88,8
89,7
90,13
91,5
92,4
93,13
94,7
95,10
96,10
97,26
98,16
99,30
100,824
102,1
103,1
104,1
106,2
108,2
110,1
112,1
115,1
119,1
120,2
125,2
128,1
129,1
131,2
136,2
140,1
143,1
145,1
148,1
149,1
154,2
157,2
159,1
161,1
164,1
167,2
174,1
182,1
183,1
187,1
191,1
192,2
195,1
197,1
198,1
200,40
206,1
210,1
213,1
216,1
217,1
220,1
225,1
228,1
235,1
249,2
274,1
287,1
288,1
292,1
298,1
300,9
317,1
319,1
328,1
366,1
369,1
384,1
400,4
410,1
446,1
490,1
500,2
900,1
