distance_ticks,count
0,27825
1,4749
2,2112
3,1785
4,1806
5,1676
6,1737
7,1084
8,1131
9,704
10,1037
11,597
12,575
13,1050
14,761
15,1060
16,459
17,432
18,375
19,348
20,254
21,174
22,164
23,175
24,184
25,349
26,168
27,197
28,193
29,502
30,360
31,288
32,330
33,331
34,243
35,279
36,216
37,194
38,318
39,265
40,292
41,297
42,266
43,200
44,860
45,465
46,387
47,365
48,349
49,305
50,256
51,216
52,210
53,202
54,231
55,206
56,172
57,146
58,158
59,101
60,111
61,83
62,64
63,70
64,60
65,57
66,64
67,50
68,41
69,42
70,39
71,33
72,36
73,35
74,39
75,25
76,29
77,26
78,17
79,35
80,29
81,18
82,22
83,18
84,15
85,17
86,15
87,9
88,9
89,8
90,22
91,14
92,11
93,11
94,21
95,13
96,11
97,8
98,6
99,13
100,15
101,10
102,5
103,5
104,10
105,12
106,13
107,7
108,7
109,6
110,9
111,3
112,7
113,13
114,8
115,8
116,11
117,10
118,4
119,5
120,4
121,5
122,4
123,3
124,3
125,11
126,2
127,3
128,4
129,5
130,8
131,4
132,3
133,2
134,4
135,1
136,4
137,3
138,2
139,5
140,3
141,2
143,2
144,3
145,2
146,4
147,3
148,1
149,3
150,2
151,10
152,1
153,2
154,3
155,4
156,3
157,1
158,3
159,2
160,3
161,2
162,1
163,4
164,4
165,4
166,2
167,3
168,1
169,5
170,4
171,3
172,3
173,6
174,1
175,2
176,1
177,2
178,3
179,5
180,2
181,5
182,1
183,2
184,2
185,2
186,2
187,4
188,4
189,3
190,3
191,1
192,3
193,1
194,2
196,3
197,1
198,2
199,8
200,12
201,3
202,2
203,1
205,1
206,3
207,1
208,1
209,4
210,9
214,7
215,2
216,2
217,2
218,1
219,1
220,2
222,2
225,9
226,11
227,9
228,3
229,8
230,7
231,5
232,10
233,6
234,7
235,6
236,5
237,3
238,15
239,20
240,20
241,21
242,13
243,16
244,14
245,15
246,31
247,26
248,36
249,38
250,55
251,71
252,77
253,141
254,244
255,284
256,273
257,244
258,337
259,332
260,211
261,123
262,57
263,49
264,26
265,25
266,13
267,10
268,14
269,15
270,8
271,15
272,12
273,19
274,28
275,42
276,63
277,142
278,250
279,547
280,572
281,295
282,149
283,93
284,65
285,40
286,19
287,22
288,11
289,7
290,13
291,6
292,3
293,4
294,3
295,2
296,1
297,1
299,3
300,11
301,1
302,1
303,2
304,2
305,2
306,1
307,5
308,3
309,4
310,2
311,2
313,1
314,4
315,7
316,4
317,4
319,2
320,2
321,1
322,4
323,4
324,4
325,3
326,11
327,5
328,7
329,5
330,12
331,9
332,6
333,20
334,15
335,24
336,33
337,41
338,56
339,120
340,262
341,387
