distance_ticks,count
0,16791
1,2177
2,1307
3,1054
4,848
5,564
6,580
7,422
8,429
9,341
10,420
11,261
12,259
13,287
14,797
15,386
16,901
17,597
18,349
19,365
20,299
21,284
22,157
23,140
24,137
25,149
26,168
27,135
28,114
29,90
30,100
31,76
32,56
33,55
34,38
35,63
36,46
37,42
38,42
39,38
40,66
41,44
42,88
43,47
44,31
45,29
46,29
47,37
48,26
49,18
50,22
51,22
52,23
53,20
54,41
55,101
56,36
57,37
58,24
59,13
60,13
61,12
62,8
63,15
64,12
65,7
66,18
67,15
68,15
69,3
70,15
71,14
72,10
73,7
74,12
75,3
76,10
77,11
78,8
79,5
80,15
81,10
82,8
83,8
84,7
85,5
86,4
87,4
88,5
89,8
90,8
91,7
92,5
93,16
94,7
95,18
96,19
97,22
98,26
99,38
100,38
101,55
102,106
103,241
104,531
105,662
106,371
107,209
108,128
109,67
110,52
111,43
112,29
113,24
114,31
115,21
116,21
117,22
118,15
119,32
120,49
121,37
122,56
123,50
124,69
125,66
126,93
127,161
128,368
129,326
130,131
131,69
132,68
133,65
134,73
135,66
136,115
137,236
138,331
139,223
140,235
141,128
142,73
143,57
144,49
145,37
146,21
147,31
148,26
149,30
150,22
151,21
152,29
153,26
154,24
155,29
156,40
157,38
158,37
159,35
160,42
161,52
162,60
163,83
164,170
165,227
166,289
167,337
168,144
169,56
170,41
171,49
172,52
173,27
174,22
175,15
176,8
177,5
178,12
179,13
180,6
181,8
182,4
183,4
184,4
185,2
186,4
187,1
189,3
190,3
191,2
194,1
195,2
196,1
197,3
198,2
200,4
201,1
202,3
203,1
204,3
205,3
206,4
207,5
208,2
209,7
210,2
211,1
212,1
213,3
214,2
215,1
217,5
219,3
220,2
221,2
223,2
224,2
225,1
227,4
228,5
229,1
230,2
232,2
233,1
235,1
236,1
237,4
238,3
239,1
240,2
241,7
242,5
243,4
244,3
245,2
246,6
247,4
248,6
249,4
250,3
251,4
252,7
253,1
254,2
257,4
258,2
259,4
260,2
261,1
262,2
266,1
267,1
268,1
270,1
272,1
274,1
279,1
280,1
281,3
282,6
283,2
285,4
286,6
287,1
288,8
289,5
290,5
291,4
292,9
293,3
294,5
295,11
296,9
297,9
298,10
299,17
300,28
301,42
302,104
303,129
304,191
305,306
306,277
307,319
308,292
309,215
310,147
311,95
312,96
313,59
314,64
315,31
316,23
317,17
318,17
319,19
320,15
321,24
322,4
323,4
324,3
325,4
326,7
327,3
328,6
329,4
330,4
332,1
333,2
334,6
335,4
336,2
338,2
339,2
340,1
341,2
342,4
343,2
347,2
348,4
353,2
354,1
355,4
356,1
357,1
359,1
363,2
364,1
365,1
366,4
371,1
372,1
374,1
375,1
377,2
378,2
379,2
380,2
381,1
385,3
386,3
387,1
389,4
390,1
391,1
393,1
394,1
395,2
400,2
402,2
406,2
408,2
410,2
411,3
415,1
418,4
419,2
420,2
421,2
422,1
423,1
426,1
428,11
432,1
433,1
435,1
436,4
437,1
438,1
440,1
441,1
442,1
443,2
449,1
456,1
457,1
458,2
460,2
461,1
462,1
465,1
467,4
468,1
471,1
481,2
482,3
483,1
486,3
487,1
491,3
494,1
498,1
503,1
509,2
510,1
516,2
520,4
521,1
522,1
525,1
526,1
528,3
529,1
530,1
531,2
533,1
534,1
536,1
541,2
542,2
544,1
547,1
548,1
550,1
559,3
563,1
570,2
571,2
580,2
583,2
592,1
593,2
595,1
600,1
601,1
605,1
617,1
620,1
628,3
629,1
636,3
638,2
639,1
642,1
647,1
657,1
660,1
661,1
666,1
673,1
676,1
683,1
686,1
692,3
693,2
694,3
697,1
700,8
713,1
715,1
716,1
717,1
723,3
724,1
727,2
728,3
729,1
730,1
731,16
736,5
738,1
740,1
750,1
753,1
754,1
767,1
776,1
781,1
782,2
796,1
800,1
812,1
813,5
823,1
826,1
828,1
831,2
836,3
845,1
846,1
859,3
860,1
872,3
877,1
878,1
887,2
890,1
892,6
900,1
902,1
908,1
909,1
915,1
916,1
926,1
927,2
928,7
931,1
933,25
936,4
938,1
944,25
945,3
953,2
958,1
959,1
968,24
979,1
984,19
986,1
988,3
994,25
995,1
1000,4
1001,1
1004,1
1008,25
1018,4
1020,1
1028,1
1036,1
1039,19
1057,3
1058,4
1059,1
