quantity,count
1,265
2,104
3,66
4,59
5,509
6,54
7,44
8,280
9,27
10,224
11,56
12,26
13,37
14,60
15,245
16,22
17,31
18,35
19,24
20,255
21,35
22,35
23,64
24,44
25,47
26,40
27,32
28,73
29,50
30,862
31,19
32,8
33,5
34,4
35,8
36,13
37,3
38,17
40,169
41,16
42,3
43,4
44,21
45,18
46,3
47,12
48,8
49,4
50,135
51,5
52,5
53,4
54,9
55,36
56,26
57,5
58,11
59,6
60,64
61,14
62,7
63,7
64,13
65,3
66,6
67,5
68,22
69,3
70,129
71,17
72,10
73,2
74,10
75,2
77,11
78,2
79,51
80,60
81,7
82,2
83,3
84,6
85,32
86,12
87,5
88,3
89,8
90,13
91,6
92,4
93,6
94,7
95,1
96,6
97,17
98,32
99,10
100,24915
102,1
103,1
106,1
107,25
108,2
109,1
110,8
111,1
112,31
113,1
114,1
115,3
116,3
117,5
119,4
120,5
121,2
122,54
123,1
124,2
125,12
126,63
127,6
128,1
129,2
130,2
131,4
132,4
134,1
137,6
138,2
140,6
142,1
143,6
145,47
150,5
151,1
153,2
155,1
157,4
158,1
164,1
168,1
171,1
173,1
175,1
178,1
186,3
188,1
190,9
191,1
193,1
194,2
200,1515
210,1
213,2
214,1
226,1
250,2
300,301
350,1
400,44
429,1
500,47
600,3
700,66
1000,26
4100,1
10000,1
