distance_ticks,count
0,1577
1,776
2,333
3,284
4,357
5,298
6,145
7,116
8,92
9,88
10,62
11,43
12,56
13,47
14,67
15,46
16,62
17,96
18,67
19,106
20,34
21,38
22,17
23,14
24,11
25,11
26,6
27,10
28,5
29,6
30,8
31,7
32,10
33,10
34,25
35,4
36,7
38,5
39,1
40,5
41,8
42,3
43,3
44,4
45,9
46,3
47,6
48,5
49,2
51,7
52,6
53,1
54,1
56,1
57,1
58,1
61,1
62,1
63,2
64,2
65,2
66,1
67,3
68,3
69,2
71,4
72,3
73,1
74,2
75,7
76,3
78,1
80,32
82,19
83,5
85,1
87,4
89,1
98,1
102,1
103,3
104,1
106,1
111,3
115,2
116,3
118,1
121,1
122,5
124,27
125,2
128,21
143,2
144,1
156,3
163,1
169,3
171,30
178,3
194,2
