quantity,count
1,203
2,121
3,236
4,43
5,491
6,21
7,24
8,20
9,33
10,211
11,10
12,6
13,6
14,14
15,207
16,16
17,11
18,30
19,32
20,130
21,21
22,15
23,16
24,21
25,42
26,21
27,24
28,17
29,35
30,421
31,2
32,4
33,18
34,5
35,14
36,3
37,1
38,7
39,4
40,4
41,6
42,5
43,1
44,5
45,12
46,1
47,1
48,10
49,1
50,26
51,2
52,7
53,19
54,9
55,13
56,1
57,1
58,4
59,4
60,9
61,1
63,9
65,1
66,6
67,1
68,8
69,18
70,3
71,1
72,5
73,16
74,2
75,5
76,3
77,3
78,5
79,8
80,9
81,5
82,6
85,8
86,1
87,3
88,8
89,1
90,10
91,2
92,18
93,4
94,12
95,7
96,6
97,16
98,9
99,7
100,13394
101,1
102,1
103,2
108,1
110,1
111,1
115,1
117,1
124,1
126,88
131,1
135,2
137,3
145,39
150,2
154,1
162,1
166,1
176,21
183,1
184,1
200,873
214,1
233,1
243,1
250,1
300,187
400,106
488,1
500,120
600,63
700,90
800,2
897,1
900,3
1000,20
1100,6
1300,1
1400,1
1500,2
2500,1
