quantity,count
1,257
2,98
3,66
4,37
5,311
6,59
7,38
8,11
9,22
10,822
11,18
12,61
13,5
14,76
15,7
16,6
17,2
18,64
19,22
20,37
21,23
22,28
23,10
24,34
25,22
26,30
27,18
28,22
29,15
30,448
31,14
32,6
33,6
34,5
35,7
36,2
37,7
38,3
39,4
40,135
41,6
42,14
43,10
44,23
45,6
46,1
48,3
49,6
50,47
51,5
52,2
53,4
54,6
55,2
56,3
57,44
58,1
59,3
60,41
61,3
63,3
64,3
65,2
66,1
67,1
68,3
69,3
70,22
71,5
72,8
73,8
74,12
75,7
76,7
77,7
78,8
79,6
80,10
81,5
82,3
83,151
84,10
85,12
86,14
87,6
88,5
89,16
90,11
91,41
92,6
93,10
94,6
95,14
96,7
97,13
98,1
99,13
100,25774
103,4
104,3
107,2
110,1
114,1
116,1
120,10
123,1
125,2
126,1
129,1
132,1
133,1
135,1
139,2
140,1
141,11
142,2
143,3
147,1
148,1
149,1
150,14
156,1
157,2
158,1
159,1
162,1
165,1
167,7
176,1
179,2
180,1
182,2
183,1
187,1
189,37
190,3
192,1
193,70
195,31
198,1
200,830
201,1
202,1
209,2
215,1
220,8
223,37
249,1
250,3
259,1
276,2
281,2
299,1
300,221
336,10
348,1
349,2
399,1
400,37
489,1
495,1
500,50
578,1
600,25
700,14
1000,9
1500,1
