quantity,count
1,64
2,36
3,32
4,23
5,33
6,27
7,30
8,18
9,10
10,47
11,17
12,24
13,19
14,15
15,18
16,12
17,7
18,10
19,9
20,31
21,9
22,11
23,14
24,13
25,11
26,15
27,8
28,2
29,12
30,30
31,5
32,11
33,7
34,9
35,17
36,4
37,23
38,10
39,9
40,8
41,8
42,8
43,3
44,4
45,5
46,5
47,11
48,8
49,4
50,20
51,4
52,5
53,13
54,9
55,7
56,4
57,4
58,4
59,5
60,16
61,4
62,2
63,5
64,2
65,5
66,6
67,4
68,2
69,8
70,10
71,4
72,2
73,1
74,17
75,6
76,10
77,2
78,4
79,2
80,8
81,3
82,6
83,6
84,5
85,2
86,4
87,2
88,4
89,8
90,7
91,4
92,4
93,6
94,3
95,9
96,5
97,8
98,6
99,9
100,508
101,1
105,1
106,1
109,2
111,1
120,5
134,2
137,1
141,1
143,2
149,1
153,2
162,1
166,1
173,1
180,1
181,1
182,1
183,1
185,1
194,1
200,18
207,1
227,1
238,1
239,1
259,1
265,1
270,1
271,1
277,2
285,1
290,1
295,1
300,7
306,1
500,2
600,1
620,1
638,1
1347,1
1600,1
3199,1
