distance_ticks,count
0,1367
1,1436
2,306
3,71
4,91
5,82
6,89
7,55
8,60
9,63
10,75
11,56
12,21
13,38
14,107
15,77
16,33
17,19
18,12
19,25
20,26
21,21
22,23
23,20
24,17
25,19
26,14
27,11
28,15
29,24
30,56
31,57
32,28
33,48
34,48
35,28
36,11
37,6
38,4
39,16
40,15
41,10
42,9
43,9
44,8
45,10
46,15
47,11
48,2
49,7
50,6
51,3
52,3
54,1
55,6
56,3
57,3
58,5
59,9
60,10
61,5
62,3
63,10
64,6
65,5
66,1
67,1
68,1
69,7
70,9
71,11
72,3
73,3
74,1
75,1
76,4
77,4
78,4
79,4
80,7
81,1
82,2
83,4
85,2
86,4
87,1
89,43
90,2
91,1
92,1
93,22
94,1
95,6
97,5
99,4
100,7
101,3
102,10
103,1
104,13
105,1
106,1
108,1
109,5
110,2
111,3
112,2
113,1
114,4
116,29
117,1
118,5
119,1
121,3
122,22
123,3
125,21
126,1
127,1
128,1
129,24
130,21
131,12
132,2
133,23
134,1
135,18
136,5
137,12
139,1
140,1
141,1
142,2
144,2
145,1
146,1
147,2
148,1
149,2
150,1
151,1
154,1
156,1
158,4
159,2
160,1
161,1
163,1
164,1
168,1
169,7
174,1
180,2
185,1
186,1
189,1
194,1
195,1
201,1
208,1
216,3
217,1
226,1
229,1
231,1
238,3
239,1
241,1
242,1
249,3
253,3
255,1
260,2
261,2
266,2
267,20
268,1
269,1
270,3
271,26
272,1
273,2
274,1
275,20
276,2
279,1
280,3
283,20
285,3
288,1
291,2
294,1
296,1
298,1
302,19
303,1
306,1
308,1
311,1
312,1
313,20
319,22
320,1
321,1
323,1
334,1
335,1
339,1
345,1
360,2
361,3
368,1
371,1
374,1
380,1
386,2
392,1
405,2
406,1
422,1
424,1
430,3
446,1
460,1
486,2
503,1
508,3
521,1
524,1
531,2
536,1
555,2
571,1
621,3
624,1
675,1
683,1
700,1
708,2
731,2
748,1
790,1
855,1
866,1
880,1
908,1
920,1
921,1
1008,2
1041,1
1071,1
1180,2
1371,1
1508,1
1680,1
1686,1
2503,1
2680,1
