quantity,count
1,346
2,287
3,121
4,52
5,180
6,43
7,62
8,16
9,6
10,287
11,70
12,24
13,57
14,29
15,74
16,103
17,67
18,59
19,24
20,119
21,38
22,33
23,9
24,11
25,31
26,27
27,35
28,43
29,6
30,131
31,20
32,8
33,3
34,6
35,10
36,18
37,1
38,11
39,6
40,15
41,10
42,9
43,6
44,2
45,4
46,6
47,59
49,4
50,12
51,6
52,21
53,2
54,11
55,47
56,2
57,3
59,2
60,16
61,4
62,1
63,6
64,1
65,1
66,1
67,18
68,3
69,6
70,1
71,3
72,132
73,4
74,67
76,2
77,4
78,3
79,21
80,22
81,20
82,19
83,8
84,27
85,5
86,8
87,12
88,6
89,11
90,7
91,11
92,10
93,12
94,10
96,12
97,11
99,6
100,36758
105,1
109,1
117,1
120,9
121,1
122,1
125,1
129,1
131,3
132,1
133,3
138,2
150,3
151,1
159,3
162,1
169,2
174,23
176,77
177,3
185,1
187,104
188,1
191,1
196,3
197,1
198,1
200,897
201,33
203,34
205,4
212,1
217,1
218,3
220,2
224,1
234,1
236,1
240,1
258,1
295,1
300,219
308,1
367,1
374,1
400,25
449,1
491,1
495,1
499,1
500,42
510,1
545,1
576,1
600,41
608,1
700,6
850,2
877,1
900,7
1000,31
1100,3
1200,1
1262,2
1300,1
1500,1
1600,2
1712,1
2000,4
2200,1
2600,1
4935,1
4995,1
6000,2
10000,1
