distance_ticks,count
0,7044
1,5099
2,1379
3,826
4,516
5,382
6,295
7,275
8,261
9,305
10,284
11,212
12,171
13,143
14,153
15,139
16,127
17,132
18,146
19,184
20,311
21,545
22,603
23,631
24,504
25,277
26,142
27,122
28,104
29,98
30,142
31,128
32,145
33,122
34,97
35,64
36,29
37,19
38,11
39,9
40,8
41,9
42,8
43,3
44,8
45,11
46,10
47,11
48,6
49,8
50,12
51,7
52,2
53,3
54,3
55,5
56,7
57,8
58,9
59,4
60,9
61,4
62,2
63,8
64,6
65,5
66,5
67,10
68,4
69,5
70,2
73,1
74,1
75,1
76,1
78,3
79,2
80,4
81,2
82,4
83,7
84,13
85,7
86,8
87,7
88,11
89,17
90,28
91,29
92,31
93,37
94,35
95,75
96,74
97,132
98,221
99,368
100,446
101,454
102,402
103,347
104,439
105,335
106,298
107,105
108,38
109,16
110,11
111,12
112,5
113,3
114,2
115,1
116,1
117,3
120,1
123,2
132,1
133,1
139,1
141,1
146,1
147,2
148,1
149,1
151,1
153,1
163,1
164,1
168,1
169,1
170,1
172,1
179,1
184,1
191,1
195,1
196,3
197,1
201,1
202,2
204,3
207,2
209,1
210,1
211,1
221,1
222,1
225,1
226,1
229,1
232,1
233,1
240,1
247,2
253,1
255,1
258,2
261,1
263,2
264,4
265,5
266,3
267,9
268,7
269,4
270,6
271,4
272,8
273,11
274,7
275,10
276,13
277,7
278,16
279,13
280,9
281,14
282,31
283,68
284,153
285,217
286,165
287,78
288,37
289,18
290,18
291,11
292,3
293,5
294,1
295,2
296,1
297,1
305,1
308,2
313,2
315,2
320,1
324,1
325,1
332,1
334,1
337,2
339,2
349,1
350,1
352,3
353,1
359,4
369,1
370,1
371,1
373,1
380,1
389,1
399,1
405,2
406,1
415,1
417,2
425,1
426,1
433,2
436,1
438,2
446,1
454,2
457,1
459,1
461,1
462,1
471,2
477,1
478,1
488,1
491,2
493,1
500,1
503,1
511,2
530,1
531,1
532,1
547,1
569,2
603,1
623,2
624,2
659,1
673,1
693,1
698,2
714,1
833,1
847,1
852,1
871,2
874,1
882,1
908,1
909,1
911,3
923,1
924,2
947,1
957,1
974,1
980,2
981,1
982,7
988,26
990,1
991,7
1000,18
1013,18
1018,1
1020,17
1075,1
1084,3
1101,3
1153,7
1177,2
1438,1
