quantity,count
1,1446
2,199
3,80
4,63
5,1296
6,67
7,79
8,125
9,164
10,812
11,40
12,48
13,16
14,65
15,233
16,86
17,61
18,67
19,34
20,225
21,61
22,121
23,43
24,85
25,61
26,48
27,66
28,118
29,45
30,449
31,26
32,23
33,16
34,18
35,38
36,34
37,27
38,17
39,10
40,374
41,17
42,17
43,21
44,6
45,83
46,17
47,18
48,6
49,12
50,107
51,37
52,66
53,28
54,32
55,23
56,32
57,29
58,13
59,35
60,34
61,15
62,32
63,20
64,14
65,16
66,17
67,21
68,27
69,34
70,94
71,20
72,13
73,17
74,23
75,33
76,16
77,11
78,17
79,32
80,26
81,124
82,28
83,33
84,43
85,34
86,23
87,34
88,29
89,32
90,30
91,28
92,21
93,23
94,28
95,11
96,16
97,24
98,13
99,36
100,89506
101,17
102,30
103,27
104,33
105,15
106,8
107,8
108,15
109,8
110,10
111,12
112,7
113,8
114,11
115,6
116,12
117,7
118,5
119,1
120,11
121,4
122,2
123,4
124,2
125,6
126,31
127,4
128,4
129,4
130,6
131,1
132,7
133,9
134,2
135,12
136,5
137,2
138,1
139,2
140,9
141,6
143,3
144,2
145,6
147,2
149,2
150,62
151,2
152,1
153,1
156,1
157,3
159,3
160,11
161,2
163,2
164,4
165,12
166,1
168,3
170,3
171,3
172,5
173,2
175,5
177,44
178,6
179,8
180,1
181,1
182,2
183,2
187,124
188,1
190,5
191,4
193,4
198,3
199,2
200,5109
203,1
204,31
207,1
210,1
215,1
220,2
221,1
222,1
223,4
226,3
229,1
232,2
236,1
238,1
240,2
242,1
243,1
250,4
258,1
260,1
265,1
271,3
277,2
287,1
289,15
290,2
299,1
300,2180
303,43
304,1
307,160
311,1
313,55
314,1
324,1
327,3
332,1
335,37
336,1
350,80
351,1
354,28
363,1
374,1
378,1
381,1
383,1
395,1
398,2
400,1455
415,4
428,1
432,10
441,1
447,3
450,3
500,471
532,5
560,1
574,1
585,1
596,3
600,476
613,1
650,2
653,3
680,1
700,1041
726,1
750,1
752,3
800,419
821,1
832,3
850,1
852,4
859,2
865,1
900,69
924,1
1000,121
1050,1
1100,4
1120,1
1148,2
1149,2
1192,2
1200,4
1227,2
1285,1
1300,8
1350,1
1390,1
1400,1
1402,1
1500,4
1536,3
1600,3
1602,1
1632,3
1640,1
1700,10
1800,7
1838,1
1850,3
1900,1
1917,1
2000,61
2100,3
2101,1
2200,4
2300,4
2335,2
2380,1
2400,1
2500,3
2600,2
2700,2
2753,2
2896,4
2930,1
2983,1
3000,4
3400,1
3551,1
3700,5
4000,3
4370,1
4400,1
4457,1
4688,1
5000,18
5700,1
6000,1
6600,1
6757,2
8000,1
8626,1
10000,6
10811,1
10960,1
13600,1
20000,1
