quantity,count
1,490
2,117
3,72
4,76
5,85
6,34
7,34
8,38
9,45
10,123
11,43
12,28
13,30
14,41
15,57
16,29
17,25
18,22
19,20
20,124
21,19
22,22
23,24
24,28
25,26
26,43
27,31
28,18
29,27
30,45
31,21
32,21
33,26
34,16
35,15
36,23
37,109
38,14
39,21
40,27
41,12
42,12
43,15
44,21
45,9
46,14
47,18
48,21
49,44
50,51
51,27
52,20
53,22
54,16
55,11
56,15
57,12
58,9
59,13
60,25
61,15
62,14
63,34
64,13
65,15
66,17
67,16
68,9
69,11
70,13
71,8
72,10
73,19
74,38
75,17
76,14
77,13
78,8
79,6
80,38
81,4
82,17
83,14
84,10
85,18
86,17
87,7
88,16
89,18
90,41
91,10
92,15
93,19
94,11
95,28
96,24
97,21
98,39
99,87
100,3390
101,3
102,1
103,2
104,3
105,2
106,1
108,1
109,1
110,2
111,2
113,3
118,4
119,2
120,1
121,3
123,2
126,1
128,2
130,1
132,1
135,2
137,2
138,2
139,2
142,2
146,2
148,1
149,2
150,3
151,1
161,1
162,2
163,1
164,1
165,1
166,1
168,1
169,3
172,1
173,2
174,1
176,1
177,2
178,2
179,1
180,2
182,1
183,1
185,2
187,1
188,1
189,1
190,1
191,1
193,1
194,1
195,1
196,2
197,2
198,2
199,5
200,110
207,1
208,1
217,1
225,1
249,1
250,1
251,1
253,1
260,1
261,1
274,1
275,1
278,1
287,1
290,3
297,1
298,1
300,33
303,2
306,1
321,1
326,1
328,1
335,1
344,1
365,1
384,1
396,1
399,1
400,14
427,1
441,1
484,1
490,1
499,1
500,8
600,2
700,1
800,1
857,1
900,3
3882,1
