quantity,count
1,459
2,176
3,115
4,72
5,466
6,115
7,77
8,78
9,104
10,412
11,37
12,37
13,31
14,12
15,197
16,43
17,17
18,39
19,39
20,297
21,18
22,16
23,47
24,34
25,35
26,23
27,10
28,37
29,18
30,262
31,13
32,5
33,7
34,8
35,17
36,7
37,17
38,8
39,1
40,94
41,7
42,18
43,2
44,10
45,23
46,5
47,6
48,7
49,12
50,152
51,10
52,4
53,9
54,12
55,13
56,3
57,5
58,21
59,2
60,32
61,43
62,4
63,8
64,3
65,14
66,9
67,1
68,3
69,3
70,73
71,6
72,1
73,3
74,11
75,9
76,7
77,7
78,10
79,7
80,33
81,38
82,8
83,7
84,3
85,14
86,8
87,13
88,18
89,142
90,37
91,10
92,10
93,10
94,10
95,8
96,13
97,8
98,10
99,25
100,23975
101,3
104,118
107,1
108,2
109,3
112,88
114,1
116,1
119,2
120,1
125,1
126,2
127,1
128,1
129,4
133,3
134,1
136,1
137,7
140,62
144,1
146,1
150,2
152,1
154,2
155,78
160,1
162,2
165,1
167,1
173,1
175,2
176,4
177,1
179,1
180,2
184,5
185,1
191,1
196,1
198,1
199,1
200,932
211,1
215,3
218,1
221,2
237,1
242,1
244,3
250,2
255,34
261,71
263,106
264,34
280,2
281,50
289,6
300,244
301,48
304,2
307,1
327,2
348,5
370,1
375,1
381,1
400,57
411,1
413,1
497,1
500,66
514,1
515,1
544,1
550,1
595,1
600,72
621,1
622,1
700,10
800,2
886,1
900,9
904,1
920,1
1000,29
1100,1
1200,9
1250,1
1300,1
1365,1
1400,10
1500,16
1560,2
1795,1
1800,1
2000,11
2025,1
2500,1
3000,5
3500,1
4000,3
4418,2
17366,2
