quantity,count
1,147
2,80
3,41
4,72
5,29
6,36
7,28
8,112
9,23
10,51
11,31
12,21
13,17
14,10
15,22
16,51
17,30
18,24
19,22
20,50
21,12
22,16
23,27
24,20
25,32
26,35
27,27
28,94
29,33
30,73
31,23
32,28
33,34
34,29
35,34
36,25
37,13
38,14
39,25
40,33
41,9
42,12
43,10
44,14
45,16
46,9
47,9
48,14
49,20
50,373
51,20
52,13
53,15
54,30
55,19
56,8
57,10
58,8
59,6
60,25
61,31
62,11
63,4
64,5
65,7
66,15
67,22
68,22
69,7
70,59
71,3
72,8
73,13
74,13
75,10
76,20
77,4
78,15
79,8
80,49
81,14
82,12
83,4
84,12
85,8
86,10
87,14
88,12
89,20
90,23
91,16
92,6
93,5
94,5
95,12
96,9
97,6
98,18
99,17
100,40805
101,5
102,3
103,8
104,1
105,5
106,4
107,2
108,43
109,4
110,6
111,2
112,4
113,3
114,5
115,1
116,5
118,1
119,1
120,8
121,3
123,5
124,3
125,1
126,3
127,2
128,5
129,1
130,1
131,2
132,3
133,5
134,1
135,4
137,1
138,3
139,2
140,1
141,4
142,5
143,4
144,2
146,1
147,2
148,6
149,3
150,34
151,1
153,1
154,4
155,1
156,3
157,1
158,1
160,4
164,6
165,5
166,4
168,6
169,2
170,2
171,1
173,1
174,19
175,4
176,1
177,3
178,2
179,3
180,3
181,3
182,2
183,2
184,6
185,1
186,3
187,1
188,1
189,5
190,6
191,1
192,4
193,1
194,1
196,1
197,4
198,4
199,7
200,13139
202,3
205,11
206,3
207,1
208,4
209,3
210,2
211,1
214,1
215,1
216,2
218,1
219,1
220,1
221,1
222,1
226,1
227,13
231,1
232,1
233,1
234,1
235,1
237,2
240,1
245,1
246,1
250,3
251,1
253,1
256,1
257,1
259,2
260,2
261,1
262,1
263,1
264,4
265,1
268,2
269,1
270,4
271,2
272,1
275,1
276,3
280,3
281,1
284,7
289,1
290,2
293,1
296,2
298,1
299,1
300,7657
301,1
304,3
306,2
307,1
308,6
309,5
310,27
312,7
313,1
314,5
315,6
318,11
319,1
320,42
321,1
322,3
325,2
328,5
329,3
330,45
332,2
334,2
335,10
336,1
337,2
338,9
340,35
341,20
343,1
344,1
345,2
346,1
347,10
348,10
350,58
352,1
353,3
354,1
356,5
357,13
359,1
360,33
361,1
362,2
364,2
366,6
367,4
368,4
369,2
370,31
371,2
373,11
376,9
377,2
379,1
380,44
381,3
382,4
383,5
384,1
385,3
386,1
387,5
390,38
391,3
392,3
394,1
395,4
396,1
397,2
398,13
399,1
400,4238
401,5
402,5
404,4
406,4
408,5
410,26
411,4
412,5
413,1
414,1
416,2
417,1
418,2
419,1
420,44
422,1
423,6
424,3
425,2
427,2
428,1
430,17
434,3
435,3
438,2
439,1
440,17
442,2
443,1
444,1
446,1
447,1
449,1
450,57
451,3
452,7
454,1
455,2
457,4
458,1
459,2
460,26
461,2
463,1
464,1
468,1
469,3
470,46
471,7
473,10
474,8
475,1
476,3
480,25
483,5
485,4
486,7
487,1
490,22
491,1
493,4
494,5
496,2
497,4
499,1
500,3493
503,1
509,1
510,1
514,1
518,4
522,1
524,2
525,2
528,1
529,1
540,1
546,1
550,29
551,1
554,2
555,2
560,1
562,1
570,1
571,1
578,1
579,1
580,9
581,1
583,1
590,3
593,1
600,3557
603,2
606,1
618,3
620,6
624,1
625,2
631,1
635,1
640,1
644,8
650,32
661,1
662,1
664,1
670,2
684,1
685,4
686,1
687,1
694,1
700,2585
702,2
705,13
708,1
710,3
713,1
717,1
720,10
723,1
730,3
731,2
733,1
743,6
749,1
750,11
762,1
763,1
770,6
778,6
783,1
786,2
787,1
788,1
794,1
800,1683
803,1
810,3
818,5
839,11
840,2
845,1
846,1
850,22
851,1
853,1
855,1
859,1
860,1
861,1
869,1
870,8
876,10
880,5
885,1
900,1050
907,1
909,1
916,1
920,3
924,1
925,1
928,1
929,2
930,1
931,3
940,6
944,1
950,9
954,1
960,1
961,1
962,1
963,2
965,1
970,3
982,1
983,17
985,2
990,23
992,1
1000,2220
1001,1
1002,4
1003,3
1004,4
1005,8
1006,5
1009,1
1010,5
1011,3
1013,1
1014,2
1025,1
1029,1
1038,1
1040,1
1044,1
1045,1
1050,13
1070,1
1078,1
1082,1
1089,1
1090,4
1091,4
1092,1
1094,5
1100,635
1108,1
1109,1
1117,3
1118,2
1119,1
1121,3
1123,1
1127,1
1133,1
1145,1
1150,3
1152,1
1165,1
1168,1
1173,1
1177,1
1179,1
1180,1
1182,1
1183,2
1200,528
1204,1
1240,1
1250,4
1264,1
1291,1
1299,1
1300,583
1350,2
1356,1
1388,1
1390,2
1396,4
1398,1
1400,709
1450,5
1500,984
1550,2
1553,1
1599,2
1600,238
1700,178
1750,3
1764,1
1800,127
1890,1
1900,120
1950,1
1999,1
2000,466
2076,2
2100,74
2109,1
2134,1
2135,1
2150,1
2183,1
2200,40
2250,2
2295,1
2300,144
2350,2
2400,44
2418,1
2450,1
2478,1
2500,270
2550,2
2570,1
2600,284
2700,12
2800,31
2900,116
3000,121
3100,6
3155,1
3200,93
3274,1
3300,1
3333,1
3400,4
3500,73
3590,1
3673,1
3700,2
3773,3
3800,1
3873,1
3900,1
3973,1
4000,72
4073,3
4100,1
4173,2
4200,2
4400,1
4487,1
4500,40
4600,2
4702,1
4750,1
4900,3
5000,75
5200,2
5300,4
5500,1
5700,1
5800,2
6000,63
6300,1
6600,1
7000,17
7100,1
7400,1
7600,1
7900,1
8000,23
8500,2
8699,1
9279,1
9700,8
9900,19
10400,3
11100,4
15700,1
15900,1
22700,1
