quantity,count
1,44
2,29
3,16
4,21
5,8
6,10
7,16
8,19
9,24
10,31
11,4
12,5
13,3
14,1
15,1
16,2
17,2
18,2
19,4
20,20
21,13
22,19
23,9
24,13
25,26
26,5
27,4
28,4
29,4
30,77
31,6
32,1
33,13
34,3
35,6
36,4
37,1
38,2
40,7
41,2
42,1
43,2
44,2
45,2
46,2
47,1
48,2
49,1
50,14
51,3
52,1
53,2
54,4
55,6
56,8
57,32
58,5
59,2
60,19
62,7
63,13
64,27
65,4
67,2
68,4
69,2
70,2
71,11
72,1
73,1
75,1
77,3
78,1
79,1
80,46
82,2
84,1
85,2
88,2
89,2
90,6
91,9
92,4
94,3
95,1
96,2
97,2
98,1
99,2
100,3982
102,8
103,3
104,1
105,2
106,1
110,4
111,1
112,1
115,2
116,4
119,3
121,1
124,1
125,3
126,1
128,2
131,1
135,1
137,1
138,1
139,5
140,1
145,2
150,15
162,1
170,1
172,1
173,1
178,1
180,2
181,1
182,1
183,1
189,1
190,1
191,1
192,2
199,1
200,596
201,3
202,3
210,1
229,1
238,1
240,9
250,10
259,1
265,4
269,1
270,2
272,3
300,347
333,1
339,1
340,1
348,1
350,1
370,1
388,1
395,3
399,1
400,100
448,1
450,6
459,1
470,2
500,94
550,1
551,2
600,31
604,3
659,1
700,16
750,1
800,11
803,1
900,6
943,1
1000,32
1100,5
1122,1
1160,1
1200,4
1278,1
1290,2
1292,1
1300,7
1400,1
1500,1
1506,2
1566,2
1577,1
1580,1
1600,3
1750,1
2000,15
2200,1
2450,10
2660,1
2900,1
3000,1
4000,1
4800,1
5000,1
6942,1
8885,1
9300,1
23000,2
