quantity,count
1,16
2,3
3,2
4,7
5,3
6,7
7,1
8,4
10,79
11,2
12,3
14,1
15,20
16,4
17,2
18,3
19,3
20,18
21,2
22,1
23,7
24,1
25,8
26,1
27,1
28,7
29,2
30,335
32,1
34,3
35,1
36,1
38,1
40,4
42,2
43,3
45,1
46,1
47,5
48,4
49,1
50,33
51,1
52,2
53,2
54,2
55,4
56,1
58,3
59,1
60,14
62,1
63,2
64,2
65,2
66,1
67,5
68,1
70,3
71,1
73,2
74,3
75,3
76,3
77,1
78,2
79,1
80,6
81,2
82,1
83,2
84,20
85,2
86,2
87,2
88,2
90,6
91,27
92,70
93,4
94,9
95,5
96,5
97,6
98,1
99,8
100,4706
101,7
105,1
106,1
107,1
108,1
110,2
113,1
114,1
116,1
120,2
121,1
125,4
129,1
130,1
132,2
140,1
143,1
150,8
160,3
162,1
165,1
167,2
168,1
170,1
180,1
191,1
200,906
202,2
208,4
212,1
214,2
215,1
218,1
220,1
225,1
238,1
239,2
241,1
244,1
248,1
250,10
260,1
280,1
282,2
286,1
291,1
293,1
300,409
306,2
320,1
330,1
365,2
384,1
392,1
400,74
408,1
428,2
439,1
445,1
448,1
464,1
473,2
487,1
500,81
550,1
600,223
645,1
650,2
700,266
730,1
739,1
750,1
787,1
800,12
850,2
860,3
900,221
920,1
1000,56
1050,1
1100,1
1165,1
1200,33
1202,1
1300,38
1309,4
1350,1
1450,2
1500,7
1600,7
1700,29
1770,1
1800,22
1873,1
1880,1
1897,1
1900,5
2000,18
2097,1
2299,1
2300,4
2400,1
2500,5
2657,1
2800,2
3000,4
3285,1
3400,1
4000,4
4674,1
4800,1
5000,5
5500,3
6000,1
6900,1
7000,3
9185,1
10000,1
11000,1
11200,1
12000,1
16000,1
18115,1
20000,1
39719,1
39741,1
39763,1
50000,1
