quantity,count
1,90
2,50
3,49
4,21
5,35
6,25
7,7
8,11
9,7
10,74
11,7
12,16
13,24
14,9
15,24
16,13
17,14
18,32
19,24
20,34
21,167
22,31
23,26
24,16
25,7
26,5
27,15
28,21
29,16
30,435
31,4
32,4
33,2
34,2
35,4
36,9
37,3
38,1
39,8
40,12
41,7
42,48
43,4
44,23
45,1
46,1
47,1
48,3
50,33
51,2
53,2
54,1
55,3
56,1
57,1
58,1
60,7
62,2
63,14
64,4
65,3
66,1
68,4
69,5
70,9
71,1
74,1
75,10
76,2
78,9
79,1
80,8
81,4
83,1
84,11
85,1
86,1
89,1
93,8
94,1
95,4
96,1
97,4
98,10
99,2
100,10122
105,1
106,1
110,40
114,1
115,1
118,7
120,1
121,1
123,1
126,7
127,28
130,2
132,2
138,1
139,1
140,3
143,2
145,1
148,1
149,1
150,8
155,3
160,1
161,2
165,1
175,1
176,1
180,2
182,3
190,2
192,1
195,1
196,1
199,1
200,1242
215,3
220,1
250,4
260,1
267,1
298,1
300,694
303,1
310,1
320,1
330,1
335,2
350,1
380,1
382,9
393,1
395,1
400,206
446,1
450,2
480,1
482,1
500,185
508,1
540,1
551,1
586,9
600,153
635,1
678,2
681,1
700,101
719,2
730,1
761,1
777,1
800,263
807,1
833,1
850,1
900,64
1000,55
1008,1
1100,37
1111,2
1200,18
1247,1
1250,1
1400,3
1424,3
1500,21
1600,4
1717,1
1900,2
1976,1
2000,7
2014,1
2130,1
2500,3
3000,1
3300,1
3600,1
3885,1
4000,1
4066,1
4260,1
5000,4
5500,1
8000,1
9000,1
10000,2
