distance_ticks,count
0,441
1,138
2,53
3,36
4,41
5,26
6,20
7,20
8,18
9,8
10,25
11,13
12,12
13,11
14,7
15,18
16,4
17,8
18,12
19,25
20,83
21,39
22,32
23,13
24,6
25,10
26,12
27,9
28,9
29,9
30,8
31,6
32,10
33,6
34,2
35,7
36,7
37,3
38,3
39,4
40,2
41,3
42,9
43,4
45,6
46,13
47,8
48,11
49,22
50,29
51,6
52,4
53,6
54,1
55,4
56,2
58,6
59,2
60,4
61,2
62,3
64,4
65,1
66,5
67,3
68,8
69,3
73,7
78,2
79,1
81,6
82,2
83,1
85,3
86,3
87,2
88,2
90,1
91,1
94,2
95,3
96,1
98,2
100,2
102,2
103,2
104,2
106,1
108,1
113,1
117,1
120,1
121,1
122,2
123,1
129,2
130,1
133,1
139,1
142,2
146,1
147,1
148,1
149,1
159,3
160,2
161,1
163,3
164,3
165,2
166,1
168,3
173,3
175,1
178,10
180,6
181,1
182,9
183,10
184,12
185,5
186,1
187,9
188,15
192,4
194,11
195,1
199,1
203,3
208,3
217,1
239,1
250,1
292,1
298,1
306,1
335,1
668,1
