distance_ticks,count
0,7561
1,904
2,551
3,480
4,816
5,689
6,675
7,571
8,391
9,305
10,391
11,312
12,375
13,263
14,187
15,149
16,48
17,127
18,203
19,72
20,52
21,51
22,39
23,85
24,155
25,177
26,135
27,102
28,39
29,20
30,8
31,8
32,15
33,18
34,26
35,85
36,219
37,103
38,28
39,15
40,9
41,8
42,9
43,18
44,12
45,33
46,21
47,84
48,282
49,124
50,57
51,19
52,23
53,8
54,1
55,6
56,6
57,13
58,10
59,4
60,6
61,13
62,9
63,6
64,3
65,7
66,5
67,3
69,4
70,4
71,9
72,2
73,6
74,3
75,5
76,3
77,1
79,2
80,1
81,4
82,10
83,11
84,10
85,2
86,3
87,4
88,2
89,5
90,3
91,5
92,4
93,1
94,4
95,5
96,1
97,3
99,2
100,2
103,1
106,1
107,1
108,2
109,2
110,6
111,7
112,8
113,6
114,1
115,4
117,1
119,4
121,2
122,1
123,4
124,1
125,4
126,3
127,1
128,4
130,7
131,7
132,14
133,16
134,25
135,35
136,79
137,123
138,128
139,35
140,16
141,6
142,2
143,6
144,4
145,4
147,1
148,1
151,1
153,3
155,2
157,1
158,3
160,2
161,3
163,3
164,1
165,6
166,1
167,1
168,1
170,1
171,2
173,1
176,2
180,2
181,4
184,2
188,2
189,4
190,11
191,9
192,4
193,5
194,8
195,2
196,4
197,4
198,1
199,3
200,1
203,2
205,4
207,1
208,2
209,2
210,1
211,8
212,21
213,28
214,10
215,1
216,3
218,3
219,1
220,26
221,4
223,56
229,27
230,1
234,2
236,29
240,1
241,2
242,27
244,27
248,27
249,1
254,2
256,1
264,2
265,4
266,1
278,2
279,2
280,2
283,1
285,1
286,3
291,2
295,1
296,3
299,3
315,1
320,1
322,1
325,1
326,1
329,26
330,26
331,1
332,1
336,2
341,23
346,1
365,3
380,1
390,1
391,3
395,3
399,4
400,1
402,3
405,1
413,2
424,1
430,1
439,28
443,1
444,28
449,3
450,26
452,2
453,3
460,1
461,1
465,2
491,1
500,1
507,2
509,25
513,2
524,20
565,1
589,1
606,1
613,2
625,1
649,2
663,1
665,2
680,1
690,1
691,1
699,1
711,1
713,1
719,1
725,1
730,1
778,1
780,2
799,1
803,1
813,1
844,1
870,1
880,1
931,1
933,1
963,2
968,2
970,1
1030,2
1035,2
1099,1
1113,2
1180,2
1413,1
1480,1
1613,1
2450,1
