quantity,count
1,226
2,95
3,69
4,30
5,96
6,17
7,59
8,16
9,62
10,46
11,3
12,6
13,3
14,11
15,5
16,29
17,3
18,21
19,9
20,13
21,3
22,1
23,8
24,4
25,3
27,3
28,4
29,7
30,11
31,5
32,1
33,10
34,1
35,4
36,6
37,5
38,1
39,3
40,10
43,5
44,4
45,1
46,1
48,30
50,21
51,9
52,2
53,1
56,6
57,1
58,1
59,3
60,12
61,2
62,1
63,3
64,3
65,1
66,2
67,2
68,3
69,1
70,58
71,1
72,2
73,4
74,2
75,14
76,3
77,5
78,4
79,2
80,5
81,4
82,9
83,2
85,2
86,1
87,1
88,1
89,2
90,4
91,3
92,5
93,7
94,7
95,6
96,12
98,5
99,11
100,6525
103,11
111,1
113,6
114,1
135,1
138,1
146,1
150,1
154,2
193,1
194,1
195,2
198,1
200,323
202,1
203,1
258,1
294,2
300,294
364,1
400,19
500,24
700,46
800,14
900,1
1000,4
1100,2
1200,1
1600,4
2000,2
3600,3
