quantity,count
1,541
2,304
3,76
4,26
5,43
6,17
7,12
8,16
9,21
10,314
11,19
12,21
13,18
14,20
15,76
16,10
17,15
18,39
19,12
20,129
21,13
22,22
23,11
24,9
25,41
26,12
27,17
28,32
29,4
30,30
31,11
32,20
33,10
34,12
35,11
36,20
37,13
38,14
39,21
40,19
41,5
42,8
43,6
44,8
45,7
46,13
47,7
48,14
49,6
50,164
51,11
52,20
53,11
54,32
55,7
56,15
57,8
58,11
59,6
60,24
61,11
62,7
63,35
64,3
65,5
66,8
67,2
68,6
69,9
70,3
71,2
72,5
73,4
74,6
75,12
76,6
77,6
78,14
79,7
80,15
81,2
82,12
83,4
84,28
85,10
86,10
87,9
88,7
89,4
90,9
91,11
92,5
93,5
94,4
95,11
96,27
97,8
98,18
99,35
100,36023
101,3
102,3
104,5
105,1
106,1
107,2
110,4
112,2
113,3
114,3
115,2
117,2
119,3
120,2
121,1
122,1
123,4
125,8
127,3
128,2
129,1
130,4
131,3
132,1
133,2
135,5
136,4
137,3
138,1
139,6
140,9
142,1
143,2
144,6
145,4
146,2
147,1
148,2
149,1
150,9
151,4
152,11
155,2
156,2
157,1
158,1
159,1
160,2
161,1
162,1
164,1
166,2
167,1
170,2
172,2
173,2
174,1
175,2
176,4
177,1
178,2
179,3
180,7
181,1
183,1
185,1
186,2
187,2
188,1
189,2
190,1
191,2
193,1
195,3
196,3
197,3
198,3
199,7
200,4332
201,4
202,1
203,1
206,1
207,2
209,1
212,2
218,1
223,4
225,2
226,1
227,3
228,1
230,1
232,2
235,3
240,2
241,1
242,1
244,1
246,2
248,1
250,9
251,1
257,2
258,2
259,2
260,1
264,1
269,1
271,1
272,1
273,1
274,5
275,1
276,3
277,1
280,1
281,2
283,1
284,3
286,2
287,3
288,3
289,1
290,2
291,3
292,1
293,2
294,4
296,1
297,2
298,1
299,11
300,1543
301,2
302,2
303,2
304,1
309,2
310,3
311,1
312,2
313,1
315,4
316,33
317,1
318,42
319,3
320,1
321,5
322,1
323,1
324,3
325,2
326,3
327,1
329,1
330,1
332,3
333,1
334,1
335,1
336,1
337,1
338,1
339,2
342,2
344,4
349,3
350,4
351,1
354,1
355,1
356,2
357,1
358,1
361,1
362,1
364,2
365,1
366,1
368,33
369,3
370,1
372,1
373,66
376,2
377,1
379,2
380,1
381,1
383,1
384,1
386,1
388,1
389,3
390,1
394,1
396,2
397,3
398,1
399,1
400,962
401,15
402,1
405,1
408,1
410,2
412,4
413,2
415,1
416,2
418,1
420,1
421,1
423,9
433,1
435,6
436,1
438,1
439,1
440,1
441,1
443,1
444,7
446,1
448,3
450,1
452,1
455,1
460,1
466,1
469,1
470,2
472,3
475,1
485,1
489,1
490,1
498,1
499,1
500,1049
501,32
503,1
506,1
510,2
517,1
520,1
522,2
530,1
536,1
540,1
541,1
544,11
545,1
550,23
561,1
568,28
582,1
585,1
592,1
593,1
597,3
600,745
603,1
607,1
608,7
610,7
611,1
613,9
614,1
620,1
621,1
628,1
630,9
635,1
637,1
638,1
640,22
642,1
654,1
656,1
659,9
660,4
662,1
670,2
674,1
680,3
682,2
686,1
687,5
689,8
690,9
697,2
700,239
701,1
707,12
720,1
723,1
727,1
728,1
730,3
742,3
744,4
760,1
764,12
770,3
780,7
785,19
788,1
794,1
796,1
800,167
803,1
806,3
811,4
814,4
816,2
820,2
827,1
828,1
830,9
836,1
837,1
839,2
840,1
844,1
849,1
850,8
851,1
859,9
860,5
867,2
868,5
873,2
877,1
880,2
882,3
884,1
885,2
890,12
896,1
899,1
900,110
901,6
906,1
910,46
912,1
916,1
919,1
920,14
926,1
930,2
940,5
947,1
948,3
950,1
960,5
967,1
970,18
971,2
977,1
987,6
990,3
997,10
1000,348
1025,1
1029,1
1042,1
1050,1
1074,1
1081,1
1100,70
1106,1
1119,1
1135,1
1142,1
1144,1
1150,2
1157,1
1180,1
1198,1
1200,50
1209,1
1246,1
1250,2
1280,1
1285,1
1297,1
1299,1
1300,63
1313,1
1337,1
1347,1
1370,1
1392,1
1400,102
1401,1
1422,2
1466,1
1500,47
1570,1
1580,1
1600,59
1643,1
1660,1
1665,2
1700,15
1780,1
1800,24
1815,1
1879,1
1900,28
2000,120
2100,4
2200,55
2300,2
2369,1
2412,1
2500,12
2600,2
2700,4
2800,26
2900,71
2985,1
3000,74
3100,39
3300,4
3600,14
3800,1
4000,3
4025,2
4600,13
4700,31
4900,1
5000,5
5600,2
6000,5
6300,1
6500,1
6650,2
6700,1
7000,1
7365,1
7466,1
7500,1
8000,2
8500,1
8900,2
9000,1
9500,1
9511,1
9736,1
10000,1
12000,1
13000,2
13700,1
20945,1
