quantity,count
1,46
2,25
3,25
4,21
5,46
6,14
7,17
8,16
9,8
10,185
11,93
12,18
13,16
14,14
15,44
16,10
17,12
18,8
19,15
20,22
21,9
22,34
23,6
24,6
25,6
26,1
27,9
28,5
29,4
30,419
31,2
33,46
34,9
35,16
36,2
37,1
38,2
39,1
40,41
41,2
42,7
43,1
44,5
46,56
47,1
49,2
50,39
51,1
54,8
55,15
56,1
57,7
58,4
59,3
60,12
61,3
62,1
63,6
64,4
65,10
66,30
67,2
68,1
69,4
70,11
72,3
74,1
75,5
76,2
77,6
78,1
79,2
80,2
81,1
82,2
83,2
84,1
85,5
86,1
87,1
88,2
89,1
90,4
91,5
92,1
93,8
94,2
95,1
96,3
97,2
98,1
99,38
100,13761
101,2
102,1
103,1
104,1
105,4
106,3
107,1
108,4
109,1
110,2
111,2
113,2
114,3
115,2
116,1
117,2
118,62
119,1
120,4
121,2
122,1
123,1
125,2
126,1
127,29
128,20
129,1
130,2
132,23
135,1
137,5
138,1
139,4
140,1
141,1
142,3
143,1
145,2
150,7
151,2
155,1
158,2
159,1
160,2
162,1
163,1
165,25
169,1
170,1
171,2
175,1
176,1
183,1
185,1
187,1
189,2
190,12
192,1
196,2
197,1
198,13
200,2501
201,2
202,1
203,7
208,1
209,31
219,1
233,34
238,1
240,1
255,1
262,3
263,1
266,2
269,28
279,1
280,1
282,1
288,1
292,1
298,1
299,2
300,638
301,3
315,1
353,1
358,1
360,1
363,2
373,2
377,1
389,1
400,546
415,4
417,1
422,1
425,1
437,1
450,2
452,1
458,1
479,1
484,1
491,1
500,510
528,1
560,1
600,322
625,1
700,311
720,1
750,1
757,1
760,1
800,61
885,1
889,1
897,1
900,32
951,1
1000,44
1100,6
1200,100
1300,97
1400,2
1491,1
1500,76
1529,1
1530,1
1600,42
1700,9
1740,1
1800,1
1900,1
1940,1
2000,18
2200,1
2300,15
2500,10
3300,1
3400,1
3600,1
4000,1
4100,1
