quantity,count
1,61
2,36
3,32
4,24
5,66
6,15
7,24
8,21
9,11
10,211
11,99
12,20
13,15
14,17
15,51
16,13
17,10
18,10
19,16
20,29
21,9
22,38
23,8
24,7
25,11
26,2
27,7
28,7
29,6
30,415
31,2
33,48
34,10
35,17
36,1
37,1
38,3
39,2
40,42
41,3
42,8
43,1
44,6
45,1
46,57
47,1
48,1
49,1
50,44
51,1
52,1
54,8
55,19
57,5
58,5
59,5
60,14
61,3
62,2
63,5
64,3
65,12
66,29
67,3
68,2
69,4
70,9
71,2
72,6
73,1
74,1
75,4
76,1
77,5
78,1
79,3
80,2
81,1
83,2
84,2
85,3
87,1
88,2
90,4
91,3
93,4
95,1
96,2
98,2
99,34
100,15191
101,4
104,1
105,4
106,4
107,1
108,3
109,1
110,2
111,2
113,2
114,2
115,3
116,1
117,2
118,64
119,1
120,5
121,2
122,1
123,1
125,2
126,1
127,30
128,20
129,1
130,1
132,23
135,3
137,5
138,1
139,5
140,2
141,1
142,4
143,1
144,1
145,2
147,1
150,12
151,2
155,1
156,1
158,2
163,1
165,25
169,2
170,1
171,2
173,1
176,1
180,1
183,1
185,1
187,1
189,1
190,12
192,1
196,2
197,2
198,14
199,1
200,2706
201,2
202,1
203,8
204,1
208,1
209,33
219,1
224,1
233,37
238,2
240,1
255,1
259,1
262,2
263,1
264,1
266,2
269,30
284,2
288,1
290,1
292,1
299,2
300,726
301,2
315,1
353,1
358,1
360,1
363,2
373,2
377,1
378,1
387,1
389,1
399,1
400,628
415,4
417,1
422,1
425,1
426,1
450,3
452,1
456,1
457,1
458,1
463,1
477,1
479,1
484,1
491,1
492,1
500,546
528,1
551,1
560,1
565,1
594,1
600,335
625,1
664,1
700,316
720,1
750,2
757,1
800,69
885,2
900,36
951,1
1000,73
1100,12
1200,109
1258,1
1300,103
1391,1
1400,2
1488,1
1491,1
1500,82
1529,1
1530,2
1600,44
1700,12
1740,1
1800,4
1900,3
1940,1
2000,36
2100,1
2200,1
2300,16
2500,13
2738,1
3000,10
3100,1
3200,1
3300,1
3400,3
3600,1
4000,2
4100,1
4612,1
5000,1
6000,1
7000,1
10600,1
21200,1
