quantity,count
1,85
2,25
3,16
4,19
5,21
6,23
7,13
8,9
9,7
10,19
11,7
12,8
13,9
14,9
15,10
16,5
17,7
18,3
19,2
20,9
21,6
22,1
23,8
24,2
25,3
27,3
28,5
29,2
30,5
31,2
33,2
34,2
35,4
36,3
37,3
38,7
39,1
40,4
41,5
42,2
43,3
44,4
45,8
46,2
48,3
49,2
50,7
51,4
52,3
55,2
56,3
57,5
58,2
59,1
60,2
61,1
62,5
63,2
64,2
65,1
66,2
67,4
69,1
70,3
71,4
73,1
74,3
75,3
76,1
77,3
79,2
80,2
81,1
83,1
84,1
85,3
86,4
87,3
88,2
89,2
90,6
91,3
92,2
93,5
94,10
95,4
96,3
97,6
98,3
99,16
100,163
101,2
134,1
142,1
176,1
190,2
200,1
229,1
259,1
427,1
