quantity,count
1,192
2,69
3,70
4,45
5,116
6,47
7,54
8,57
9,29
10,95
11,18
12,11
13,14
14,17
15,24
16,8
17,12
18,17
19,15
20,53
21,10
22,8
23,8
24,10
25,10
26,14
27,15
28,6
29,11
30,27
31,14
32,10
33,17
34,4
35,8
36,7
37,12
38,10
39,10
40,17
41,7
42,6
43,3
44,7
45,5
46,3
47,9
48,4
49,11
50,13
51,6
52,1
53,10
54,13
55,8
56,3
57,3
58,5
59,5
60,8
61,7
62,7
63,6
64,3
65,3
66,3
67,4
68,3
69,6
70,10
71,6
72,2
73,3
74,7
75,2
76,5
77,2
78,4
79,4
80,9
81,5
82,8
83,5
84,3
85,2
86,3
87,2
88,4
89,10
90,12
91,3
92,10
93,8
94,8
95,13
96,8
97,5
98,13
99,12
100,524
101,1
108,2
115,1
120,1
125,1
129,1
138,1
144,1
156,1
171,1
180,2
189,1
194,2
196,1
198,1
200,13
214,2
217,1
220,1
231,1
245,1
250,1
251,1
300,3
340,1
390,1
400,3
500,1
