distance_ticks,count
0,13738
1,6880
2,2223
3,1240
4,944
5,863
6,743
7,559
8,511
9,527
10,533
11,470
12,364
13,489
14,596
15,493
16,210
17,111
18,121
19,134
20,103
21,109
22,49
23,37
24,30
25,20
26,8
27,12
28,17
29,8
30,11
31,9
32,6
33,10
34,11
35,6
36,9
37,7
38,14
39,41
40,127
41,204
42,176
43,83
44,41
45,81
46,136
47,126
48,58
49,21
50,8
51,7
52,32
53,48
54,164
55,231
56,174
57,115
58,27
59,30
60,20
61,22
62,38
63,108
64,274
65,335
66,249
67,69
68,10
69,4
70,4
71,2
72,2
73,3
74,1
75,7
76,1
77,4
78,4
79,1
81,1
82,4
83,1
84,1
85,2
89,1
90,1
91,1
92,2
93,3
95,2
96,1
99,1
100,3
101,1
102,4
103,4
105,3
106,5
107,4
108,5
109,3
110,8
111,4
112,7
113,9
114,12
115,18
116,17
117,30
118,50
119,58
120,89
121,64
122,46
123,20
124,4
125,1
126,2
127,2
128,4
129,5
130,1
131,3
134,1
136,3
137,1
140,2
141,2
142,2
144,2
145,5
147,2
148,3
149,4
155,2
158,1
160,3
161,1
163,1
164,3
166,3
167,2
168,2
169,2
171,1
173,1
176,3
178,1
179,3
182,1
183,1
185,1
186,1
187,3
188,1
189,1
193,4
196,3
200,3
204,1
208,1
211,1
218,3
219,3
223,2
226,7
228,1
229,2
234,1
236,1
239,1
243,1
244,3
255,3
257,1
265,1
267,1
272,3
275,1
277,2
284,1
285,1
286,2
292,1
303,1
317,3
318,1
351,1
355,3
368,1
369,1
384,1
387,1
388,1
392,1
393,1
396,1
399,1
410,1
413,1
418,5
419,1
428,1
433,3
443,2
445,2
455,25
457,1
459,6
460,1
461,1
464,6
465,1
469,7
471,21
473,1
477,1
479,1
481,1
489,1
497,1
524,1
533,1
537,1
540,2
545,1
547,1
564,1
586,1
590,1
591,6
