distance_ticks,count
0,12503
1,6281
2,2414
3,1889
4,1714
5,1451
6,1226
7,1092
8,954
9,831
10,641
11,530
12,509
13,448
14,457
15,419
16,323
17,290
18,290
19,254
20,196
21,215
22,247
23,412
24,662
25,676
26,494
27,289
28,184
29,126
30,103
31,134
32,123
33,130
34,130
35,125
36,143
37,120
38,173
39,123
40,114
41,95
42,103
43,127
44,94
45,71
46,67
47,54
48,41
49,31
50,21
51,18
52,21
53,19
54,21
55,13
56,17
57,21
58,12
59,15
60,14
61,13
62,13
63,20
64,18
65,15
66,13
67,7
68,6
69,9
70,7
71,7
72,11
73,9
74,8
75,13
76,14
77,12
78,18
79,19
80,27
81,39
82,57
83,83
84,218
85,248
86,306
87,163
88,104
89,92
90,150
91,189
92,216
93,309
94,239
95,194
96,146
97,120
98,76
99,79
100,94
101,165
102,223
103,337
104,357
105,414
106,473
107,526
108,521
109,354
110,232
111,170
112,125
113,96
114,54
115,25
116,16
117,10
118,9
119,8
120,12
121,10
122,5
123,2
124,3
125,5
126,3
127,6
128,2
131,4
132,1
133,3
135,5
137,4
138,1
139,2
140,2
141,2
143,3
144,1
146,2
147,2
148,3
149,2
150,2
151,1
152,4
153,1
154,3
155,4
156,2
157,4
158,1
159,2
160,3
161,4
162,1
164,2
165,1
166,3
167,2
168,4
169,4
170,4
171,4
172,2
173,1
174,2
175,3
176,1
177,1
178,2
180,4
181,1
182,1
183,2
184,4
185,1
186,2
189,1
190,6
191,2
192,1
193,2
194,3
195,1
196,2
197,4
199,1
200,2
201,1
202,3
203,4
204,5
205,3
206,4
207,2
208,1
209,3
210,1
211,3
212,1
213,4
214,1
215,1
217,3
219,2
220,1
222,1
223,3
224,3
225,8
226,4
227,2
228,4
230,1
231,2
233,2
236,1
237,1
238,2
239,1
240,1
242,2
243,1
244,2
245,3
246,2
247,3
248,4
249,5
254,1
256,2
258,8
259,11
260,7
261,12
262,20
263,25
264,41
265,98
266,141
267,143
268,106
269,141
270,100
271,63
272,46
273,30
274,20
275,17
276,15
277,12
278,10
279,6
280,2
281,10
282,3
283,7
284,9
285,2
286,9
287,5
288,10
289,3
290,12
291,2
292,2
293,1
294,2
295,1
296,2
297,3
299,6
300,1
302,2
303,3
305,1
313,1
315,1
321,2
326,1
328,3
330,1
337,3
338,1
341,1
343,3
344,1
367,1
368,1
369,3
371,1
372,1
373,3
376,1
378,1
379,1
399,1
400,1
405,1
406,1
407,1
412,2
413,1
416,3
421,1
422,1
423,1
424,3
426,3
428,2
432,3
435,1
436,3
444,3
449,1
451,4
460,3
463,1
470,3
487,1
497,1
499,1
502,2
504,1
505,2
511,3
512,1
513,2
514,3
515,5
516,2
517,3
518,6
519,6
520,9
521,5
522,3
523,6
524,5
525,14
526,3
527,3
528,5
529,4
530,4
531,1
532,2
533,1
534,1
535,2
537,1
538,2
539,1
540,1
542,1
544,1
545,1
551,1
553,1
562,1
566,1
589,1
596,2
597,1
599,1
600,1
602,1
605,1
606,2
610,1
611,1
613,1
614,1
616,3
619,1
621,3
622,2
623,5
624,2
625,1
626,1
627,2
628,3
629,4
630,2
631,2
632,1
635,1
636,1
638,1
639,1
644,1
689,2
706,1
708,1
709,1
710,1
717,1
749,3
756,2
768,2
769,1
806,1
819,3
823,29
834,29
835,1
851,24
852,5
856,1
873,2
898,29
903,1
917,3
919,4
921,1
953,6
957,1
960,3
966,26
967,2
969,3
973,1
977,6
984,3
986,1
992,5
999,3
1001,1
1008,2
1009,1
1016,3
1018,2
1020,1
1022,1
1026,1
1034,1
1040,1
1041,26
1042,1
1043,29
1050,1
1051,1
1055,1
1059,29
1060,27
1070,28
1073,1
1075,29
1084,28
1100,3
1102,28
1116,1
1131,7
1176,1
1214,4
1241,1
1869,1
9996150,1
9996600,1
