distance_ticks,count
0,1783
1,1130
2,475
3,221
4,160
5,150
6,105
7,93
8,94
9,80
10,97
11,54
12,67
13,61
14,47
15,42
16,35
17,43
18,33
19,31
20,33
21,36
22,36
23,48
24,43
25,37
26,46
27,53
28,80
29,36
30,35
31,39
32,48
33,50
34,57
35,115
36,123
37,188
38,107
39,54
40,41
41,30
42,54
43,94
44,115
45,85
46,68
47,30
48,34
49,49
50,94
51,116
52,71
53,26
54,26
55,23
56,16
57,11
58,14
59,15
60,12
61,12
62,5
63,9
64,6
65,6
66,2
67,7
68,6
69,8
70,4
71,4
72,12
73,10
74,5
75,6
76,3
77,5
78,6
79,7
80,4
81,3
82,4
83,5
84,8
85,5
86,7
87,5
88,8
89,4
90,5
91,3
92,4
93,2
94,10
95,8
96,9
97,7
98,8
99,12
100,5
101,3
102,3
103,4
104,3
105,1
107,1
108,3
111,1
112,1
113,3
114,3
115,4
116,2
117,5
118,4
119,6
120,5
121,8
122,3
123,5
124,3
125,2
126,5
127,4
128,1
129,3
130,5
131,25
132,21
133,2
134,3
135,4
136,2
137,2
138,7
139,3
140,3
141,1
143,4
144,2
145,2
147,1
148,1
149,2
150,4
151,7
152,1
153,2
155,1
157,1
158,3
159,1
161,3
162,1
164,7
165,2
167,2
168,2
170,1
171,2
173,1
174,3
176,1
177,1
178,6
179,1
180,2
181,3
182,1
183,3
187,2
189,3
190,1
193,2
194,2
197,3
198,1
202,4
203,1
204,1
205,2
207,1
213,1
214,1
216,1
217,1
218,2
221,2
223,1
228,2
229,1
232,5
233,1
235,2
238,3
241,1
245,1
250,4
253,2
255,1
256,1
260,3
263,2
264,16
266,1
272,2
273,1
275,1
276,2
279,13
283,1
285,2
288,3
292,2
297,1
300,1
322,1
332,2
336,13
337,3
339,1
345,2
348,2
350,1
352,1
364,2
368,2
371,1
374,1
378,1
380,2
382,1
383,2
384,1
385,2
386,1
389,2
393,2
402,1
406,1
409,1
411,1
414,1
416,17
425,16
426,14
428,2
433,2
443,3
454,2
455,1
475,1
476,1
478,1
482,15
484,1
487,16
490,1
505,16
523,3
542,2
570,1
607,1
626,2
648,3
682,1
691,3
9998300,1
9998538,1
