distance_ticks,count
0,97509
1,17333
2,12321
3,11380
4,11086
5,12384
6,14779
7,13167
8,13507
9,11898
10,10719
11,10541
12,6187
13,4465
14,4134
15,4121
16,2825
17,2390
18,1562
19,1025
20,742
21,608
22,419
23,348
24,315
25,301
26,270
27,266
28,217
29,213
30,190
31,183
32,141
33,140
34,125
35,113
36,89
37,103
38,79
39,86
40,79
41,74
42,61
43,61
44,55
45,66
46,59
47,47
48,51
49,47
50,36
51,38
52,34
53,30
54,34
55,25
56,32
57,20
58,21
59,27
60,19
61,18
62,25
63,18
64,30
65,17
66,23
67,16
68,20
69,18
70,11
71,13
72,17
73,13
74,8
75,10
76,11
77,12
78,10
79,8
80,11
81,11
82,9
83,10
84,4
85,14
86,18
87,23
88,21
89,54
90,141
91,408
92,762
93,530
94,75
95,46
96,252
97,784
98,926
99,200
100,26
101,46
102,473
103,1151
104,860
105,88
106,19
107,26
108,131
109,647
110,1174
111,798
112,292
113,41
114,20
115,8
116,9
117,8
118,3
119,3
120,21
121,5
122,10
123,11
124,4
125,8
126,2
127,2
128,4
129,8
130,7
131,8
132,10
133,4
135,2
136,2
137,6
138,8
139,4
140,5
141,3
142,3
143,2
144,1
145,8
146,2
147,6
148,2
149,5
150,1
151,4
152,1
153,2
154,5
155,1
156,3
157,2
158,4
159,5
160,1
161,3
163,5
164,6
165,2
166,1
167,3
168,4
169,4
170,11
171,7
172,7
173,2
174,3
175,4
176,5
177,10
178,10
179,5
180,10
181,10
182,7
183,9
184,10
185,7
186,7
187,9
188,6
189,5
190,7
191,5
192,4
193,3
194,7
195,6
196,3
197,2
198,4
199,5
200,4
201,4
202,3
203,2
204,9
205,6
206,6
207,2
208,7
209,6
210,8
211,7
212,4
213,7
214,17
215,4
216,6
217,10
218,7
219,5
220,11
221,2
222,9
223,6
224,7
225,4
226,6
228,2
229,4
230,2
231,6
232,5
233,5
234,2
235,2
236,3
237,5
238,3
239,7
240,7
241,4
242,42
243,4
244,3
245,1
246,2
248,4
250,10
252,4
253,7
254,13
255,56
256,227
257,473
258,518
259,190
260,16
261,42
262,3
263,3
264,5
265,2
266,3
268,1
269,2
270,3
271,2
272,3
273,2
274,76
