distance_ticks,count
0,17346
1,3154
2,1524
3,1145
4,1392
5,1380
6,730
7,546
8,467
9,324
10,282
11,253
12,118
13,124
14,125
15,86
16,241
17,117
18,75
19,44
20,36
21,29
22,30
23,26
24,29
25,29
26,52
27,37
28,67
29,190
30,340
31,256
32,269
33,347
34,105
35,101
36,252
37,449
38,102
39,95
40,204
41,273
42,104
43,25
44,10
45,10
46,6
47,9
48,5
49,2
50,12
51,6
52,6
53,9
54,2
55,6
56,6
57,7
58,10
59,6
60,6
61,3
62,2
63,3
64,5
65,6
66,5
67,1
68,2
69,3
70,11
71,11
72,6
73,10
74,14
75,16
76,27
77,86
78,115
79,161
80,155
81,38
82,4
83,5
84,1
85,5
86,2
87,2
88,2
89,2
90,8
91,3
92,3
94,1
95,3
96,2
98,2
99,2
100,1
101,1
102,1
103,1
104,4
105,3
107,4
108,1
110,1
113,1
114,2
115,2
118,1
119,1
120,3
123,2
125,3
126,2
127,1
129,1
130,2
131,1
132,3
133,1
135,5
138,2
139,2
140,3
141,2
142,1
144,1
150,1
152,1
153,1
154,3
156,1
157,1
159,1
160,3
164,1
170,2
174,2
175,1
178,1
184,1
185,2
189,3
190,3
192,1
195,2
198,1
201,1
202,2
211,1
215,1
223,1
225,3
226,1
228,1
230,1
240,2
241,1
243,1
247,1
250,1
251,1
254,1
256,2
260,3
261,1
262,2
265,2
267,3
269,2
270,3
271,1
272,1
274,1
277,1
281,2
282,1
283,20
290,1
291,28
293,2
295,1
296,1
297,26
298,1
299,23
301,3
306,26
307,1
311,2
312,1
313,1
314,1
320,3
325,1
328,3
336,4
338,2
341,1
343,18
353,1
360,2
367,25
376,26
378,2
383,23
389,1
396,2
428,1
439,1
470,2
475,2
482,1
495,1
501,1
540,1
563,1
623,1
625,1
778,1
970,2
1125,1
1224,1
