distance_ticks,count
0,19641
1,2169
2,1249
3,1228
4,755
5,655
6,501
7,393
8,652
9,689
10,600
11,435
12,321
13,443
14,294
15,446
16,207
17,152
18,180
19,104
20,139
21,122
22,86
23,130
24,111
25,113
26,110
27,97
28,94
29,85
30,80
31,58
32,52
33,45
34,43
35,45
36,21
37,44
38,39
39,35
40,32
41,36
42,38
43,27
44,41
45,29
46,41
47,43
48,40
49,39
50,20
51,21
52,28
53,35
54,24
55,25
56,27
57,24
58,44
59,38
60,25
61,17
62,22
63,20
64,8
65,13
66,14
67,19
68,20
69,17
70,23
71,14
72,17
73,14
74,11
75,15
76,11
77,14
78,11
79,10
80,13
81,11
82,7
83,17
84,15
85,33
86,27
87,28
88,19
89,9
90,7
91,6
92,8
93,5
94,2
95,6
96,12
97,3
98,11
99,5
100,3
101,9
102,6
103,7
104,4
105,16
106,9
107,7
108,2
109,4
110,4
111,4
112,11
113,7
114,3
115,2
116,8
117,5
118,4
119,5
120,5
121,6
122,4
123,5
124,1
125,6
126,4
127,2
128,6
129,2
130,6
131,2
132,6
133,5
134,9
135,6
136,7
137,12
138,9
139,19
140,57
141,133
142,135
143,143
144,225
145,344
146,304
147,92
148,19
149,13
150,1
151,3
152,5
153,8
154,5
155,8
156,6
157,8
158,6
159,3
160,2
161,2
162,3
163,4
164,2
165,1
166,3
167,4
168,3
169,4
170,5
171,1
172,2
173,2
174,3
175,3
176,8
177,6
178,10
179,5
180,4
181,2
182,3
183,4
184,5
185,1
186,2
187,5
188,3
189,2
190,1
191,7
192,1
193,2
194,2
195,3
196,4
197,6
198,5
199,2
200,6
201,4
202,1
203,2
204,4
205,5
206,5
207,5
208,5
209,5
211,1
212,1
213,3
214,5
215,2
216,5
217,4
218,2
219,2
220,2
221,3
222,6
223,3
224,4
225,8
226,9
227,6
228,3
229,8
230,7
231,9
232,15
233,17
234,11
235,15
236,19
237,23
238,36
239,42
240,72
241,138
242,475
243,589
244,494
245,359
246,252
247,199
248,130
249,108
250,133
251,93
252,90
253,123
254,119
255,195
256,266
257,260
258,183
259,132
260,145
261,157
262,191
263,120
264,64
265,41
266,36
267,33
268,23
269,9
270,13
271,14
272,12
273,7
274,8
275,5
276,5
277,3
278,7
279,2
280,1
281,5
282,1
283,7
284,2
287,1
288,2
289,2
290,1
291,4
292,1
293,1
294,1
295,6
296,2
297,1
298,3
299,1
300,1
301,1
302,2
303,4
304,2
305,31
306,3
307,2
309,3
310,3
311,3
312,2
313,2
314,1
315,2
316,3
317,3
318,1
319,1
320,3
321,5
322,2
323,1
324,2
325,1
326,3
327,4
328,1
330,6
333,4
334,5
335,1
336,1
338,2
339,6
341,2
342,1
343,3
344,2
345,1
346,2
348,2
349,2
350,1
351,1
352,2
355,2
359,2
362,1
363,2
365,1
368,2
370,1
371,3
372,1
378,1
380,1
384,1
385,2
387,1
388,2
389,1
390,1
395,1
397,1
399,1
400,2
401,1
402,1
403,2
405,5
406,1
408,2
410,1
411,1
416,1
417,1
420,6
424,1
425,2
429,1
431,1
442,1
444,1
445,2
447,2
450,2
451,1
452,1
453,2
455,3
456,2
457,1
458,1
459,1
460,1
461,1
462,2
463,5
464,1
467,6
468,3
469,2
470,4
471,2
472,1
473,3
474,1
475,4
476,20
477,9
478,4
479,1
480,5
481,4
482,4
483,2
484,2
485,2
486,4
487,1
488,5
489,1
490,3
491,1
492,2
493,2
494,2
495,11
496,2
497,1
498,2
500,2
501,4
502,1
503,2
504,4
505,12
506,3
507,1
508,2
509,2
510,3
511,4
512,5
513,8
514,4
515,10
516,4
517,9
518,3
519,5
520,5
521,7
522,15
523,6
524,6
525,10
526,10
527,8
528,16
529,21
530,23
531,38
532,32
533,38
534,22
535,35
536,29
537,20
538,43
539,68
540,92
541,80
542,38
543,35
544,45
545,65
546,100
547,49
548,31
549,16
550,19
551,22
552,17
553,18
554,17
555,10
556,6
557,7
558,6
559,9
560,5
561,9
562,6
563,8
564,4
565,4
566,3
568,5
569,8
570,13
571,3
572,3
573,4
574,3
575,8
576,4
577,9
578,2
579,3
580,2
581,1
582,1
583,5
584,1
585,3
587,1
589,1
591,2
592,1
593,3
594,1
597,1
598,1
599,6
600,3
601,1
602,1
603,1
604,4
605,8
606,1
607,1
608,6
609,7
610,4
611,7
612,11
613,4
614,8
615,16
616,9
617,13
618,18
619,27
620,35
621,56
622,99
623,162
624,148
625,192
626,271
627,344
628,363
629,302
630,280
631,263
632,167
633,84
634,47
635,35
636,26
637,23
638,25
639,11
640,11
641,13
642,7
643,3
644,4
645,1
646,1
647,2
649,2
650,2
651,2
655,3
663,1
664,1
666,1
672,1
678,1
679,1
680,1
688,2
689,2
691,1
697,1
700,1
702,1
703,1
705,1
707,2
713,1
715,1
717,1
719,2
720,3
723,1
730,2
738,1
740,2
742,1
743,1
750,1
754,1
760,2
770,1
771,1
774,2
775,3
779,1
780,1
794,1
799,1
801,1
805,16
810,3
820,2
821,1
823,2
825,1
830,2
831,1
833,1
835,1
837,1
851,1
856,1
863,4
870,2
875,1
877,2
883,1
905,2
906,1
910,1
913,1
920,8
925,1
930,1
934,2
943,1
958,1
962,1
963,1
987,1
996,2
1005,1
1007,1
1020,2
1030,2
1040,2
1045,1
1046,2
1048,1
1060,1
1061,2
1062,1
1063,1
1066,1
1070,4
1095,1
1105,2
1110,1
1113,2
1114,1
1120,1
1123,1
1130,1
1131,1
1139,1
1146,1
1149,1
1163,5
1164,1
1173,2
1177,3
1180,1
1183,1
1197,1
1199,1
1201,1
1205,3
1210,3
1215,1
1220,1
1221,1
1228,2
1241,1
1244,5
1248,1
1251,1
1263,3
1264,2
1265,1
1270,2
1271,1
1273,1
1278,1
1283,1
1299,1
1301,1
1302,3
1304,1
1305,39
1309,1
1320,2
1324,1
1325,3
1328,1
1329,1
1330,1
1333,28
1335,2
1337,1
1345,1
1351,1
1363,3
1365,1
1370,1
1388,2
1393,1
1405,1
1406,1
1415,1
1420,4
1429,1
1430,1
1432,1
1435,1
1437,1
1453,1
1455,1
1457,1
1463,6
1486,1
1488,1
1505,1
1508,1
1516,2
1519,1
1520,4
1521,1
1530,1
1540,1
1542,1
1548,1
1563,2
1566,1
1567,1
1568,1
1570,5
1585,1
1605,1
1653,1
1657,1
1661,2
1662,1
1663,7
1670,1
1677,1
1679,1
1716,1
1728,1
1738,2
1740,1
1741,1
1742,1
1743,1
1746,1
1747,1
1749,1
1750,3
1774,1
1775,1
1777,2
1793,1
1795,1
1801,1
1805,6
1819,3
1825,1
1838,1
1839,1
1851,1
1852,1
1870,1
1883,4
1905,1
1920,1
1925,1
1963,1
1970,1
1973,1
1997,1
2007,1
2010,1
2012,1
2025,1
2029,1
2036,2
2040,1
2044,1
2058,1
2070,4
2072,1
2075,1
2101,1
2113,2
2114,1
2124,2
2144,1
2163,3
