distance_ticks,count
0,38031
1,3205
2,1681
3,1626
4,1342
5,1678
6,1047
7,1134
8,1670
9,831
10,1031
11,919
12,903
13,1636
14,1412
15,988
16,840
17,834
18,747
19,637
20,592
21,445
22,380
23,389
24,337
25,325
26,255
27,261
28,275
29,269
30,362
31,285
32,206
33,223
34,179
35,171
36,148
37,127
38,89
39,96
40,117
41,86
42,80
43,82
44,92
45,102
46,94
47,84
48,79
49,78
50,88
51,77
52,71
53,72
54,69
55,59
56,70
57,60
58,64
59,51
60,62
61,53
62,61
63,88
64,154
65,366
66,305
67,102
68,49
69,34
70,42
71,57
72,28
73,28
74,30
75,32
76,34
77,28
78,22
79,16
80,31
81,22
82,17
83,21
84,30
85,17
86,23
87,23
88,21
89,17
90,33
91,26
92,22
93,24
94,28
95,34
96,33
97,33
98,40
99,41
100,65
101,64
102,92
103,159
104,185
105,316
106,607
107,1595
108,2106
109,2055
110,839
111,480
112,270
113,177
114,125
115,108
116,98
117,108
118,120
119,114
120,194
121,327
122,818
123,1294
124,914
125,589
126,426
127,463
128,337
129,158
130,99
131,55
132,45
133,29
134,31
135,12
136,14
137,17
138,11
139,18
140,14
141,10
142,13
143,8
144,8
145,12
146,13
147,8
148,5
149,11
150,9
151,10
152,18
153,9
154,6
155,9
156,9
157,9
158,8
159,7
160,10
161,13
162,8
163,8
164,7
165,12
166,11
167,12
168,8
169,10
170,9
171,20
172,12
173,8
174,10
175,4
176,4
177,5
178,14
179,1
180,4
181,3
182,8
183,5
184,22
185,5
186,2
187,8
188,1
189,4
190,3
191,2
192,6
193,8
194,7
195,2
196,5
197,5
198,2
199,4
200,4
201,4
202,5
203,2
204,5
205,9
206,1
207,1
208,2
209,6
210,3
211,4
212,4
213,6
215,1
216,5
217,6
218,5
219,4
220,4
221,5
222,2
223,4
224,3
225,8
226,2
227,4
229,7
230,9
231,3
232,2
233,3
234,6
236,6
237,4
238,6
239,3
240,2
241,4
242,8
243,2
244,3
245,8
246,15
247,11
248,9
249,6
250,30
251,6
252,9
253,12
254,7
255,10
256,3
257,7
258,7
259,2
260,11
261,4
262,5
263,5
264,2
265,1
266,8
267,6
268,4
269,3
270,8
271,26
272,1
273,5
274,2
275,8
276,1
277,6
278,4
279,5
280,11
281,16
282,21
283,39
284,54
285,55
286,130
287,305
288,502
289,546
290,309
291,152
292,47
293,32
294,31
295,27
296,11
297,5
298,5
299,5
300,3
301,10
302,3
303,1
304,6
305,4
306,4
307,3
308,6
309,2
310,4
311,2
312,2
315,2
316,6
317,1
318,2
320,3
321,9
322,2
323,2
325,2
326,1
327,1
328,1
330,3
331,3
332,4
333,1
334,1
335,2
336,4
337,5
338,3
339,4
340,3
341,10
342,5
343,2
344,2
345,8
346,3
347,3
348,1
349,2
350,5
351,7
352,4
353,1
354,3
355,6
356,5
357,3
358,1
359,1
360,1
361,9
362,5
363,2
364,3
366,7
367,2
368,2
369,1
370,4
371,15
373,5
375,1
376,1
377,3
378,4
379,1
380,2
381,3
382,7
383,2
384,2
386,2
387,1
389,3
390,2
391,40
392,24
393,1
394,1
395,2
396,1
397,1
399,1
400,4
401,1
402,2
404,1
405,6
406,8
407,6
410,1
411,3
412,3
413,3
414,5
415,1
416,2
417,3
