quantity,count
1,1789
2,770
3,604
4,195
5,511
6,142
7,87
8,128
9,76
10,617
11,86
12,190
13,45
14,29
15,170
16,48
17,118
18,104
19,44
20,424
21,19
22,26
23,28
24,33
25,72
26,23
27,66
28,6
29,12
30,318
31,3
32,100
33,4
34,23
35,52
36,19
37,8
38,9
39,33
40,120
41,4
42,2
43,3
44,25
45,13
46,4
47,4
48,2
49,15
50,25
51,2
52,11
53,105
54,16
55,28
56,5
57,10
58,6
59,48
60,89
61,3
62,4
63,68
64,14
65,4
66,3
67,20
68,6
69,1
70,13
71,8
72,4
73,1
74,1
75,152
76,17
77,5
78,10
79,2
80,35
81,3
82,9
83,31
85,15
86,7
87,22
88,19
89,17
90,15
91,3
92,4
93,1
94,2
95,21
96,49
98,17
99,9
100,34064
105,1
107,1
114,231
115,25
116,2
117,363
118,179
121,14
123,4
125,1
126,16
127,1
133,33
135,83
136,1
137,1
140,25
142,1
143,20
146,6
150,1
155,2
165,31
169,1
170,1
179,3
183,1
186,1
191,1
196,1
200,586
207,1
230,4
262,1
271,1
277,1
294,1
300,140
309,1
310,1
346,1
366,2
368,1
376,2
393,1
400,51
410,2
500,110
600,10
700,5
750,1
800,2
900,4
920,4
1000,3
1100,1
1500,2
1507,1
1700,2
