quantity,count
1,1511
2,258
3,183
4,158
5,855
6,206
7,229
8,193
9,173
10,721
11,121
12,186
13,42
14,28
15,193
16,34
17,43
18,66
19,76
20,503
21,30
22,55
23,62
24,23
25,92
26,65
27,24
28,19
29,45
30,297
31,11
32,3
33,3
34,34
35,9
36,8
37,20
38,30
39,14
40,103
41,8
42,29
43,13
44,5
45,9
46,7
47,11
48,4
49,4
50,13
51,1
52,6
53,15
54,12
55,11
56,7
57,6
58,2
59,21
60,138
61,1
62,16
63,160
64,13
66,8
67,4
68,1
69,4
70,8
71,13
72,10
73,16
75,146
76,4
77,1
78,5
79,2
80,19
81,2
83,8
84,7
85,1
86,8
87,6
88,3
89,10
90,9
91,2
92,151
94,2
95,2
96,14
97,3
98,6
99,11
100,31504
104,1
105,4
106,7
107,3
108,1
110,2
113,17
114,276
117,388
118,205
120,1
124,2
126,105
127,4
133,223
135,99
143,3
149,1
160,3
171,2
174,1
180,1
181,5
191,1
200,886
209,2
211,1
225,1
270,1
271,1
272,1
300,91
309,1
400,30
409,1
410,2
435,1
500,142
538,1
600,10
679,1
697,1
700,7
800,1
900,1
1000,2
