quantity,count
1,272
2,92
3,17
4,10
5,45
6,58
7,13
8,13
9,8
10,74
11,16
12,9
13,7
14,7
15,20
16,9
17,4
18,36
19,6
20,32
21,31
22,19
23,21
24,15
25,17
26,17
27,19
28,14
29,18
30,279
31,1
32,10
33,6
34,1
35,1
36,3
38,1
39,14
40,4
41,2
42,1
43,4
44,16
45,2
46,1
47,8
48,1
49,17
50,6
51,2
52,1
53,2
56,54
59,1
60,12
61,20
64,1
65,1
68,2
70,12
71,1
72,1
74,2
75,1
76,8
78,1
79,3
80,13
82,3
83,4
84,3
85,1
86,1
87,2
88,4
89,7
90,17
91,1
92,4
94,3
95,19
96,7
97,3
98,18
99,9
100,13757
101,1
103,1
104,3
105,29
106,1
107,2
108,1
110,1
111,1
112,1
113,1
114,2
116,1
119,9
126,1
127,1
133,1
140,5
143,29
144,3
146,49
150,29
156,1
160,6
162,1
163,4
165,38
169,1
171,1
173,1
180,3
187,1
190,1
195,1
198,1
199,1
200,1104
260,2
300,210
350,1
400,53
423,1
440,2
500,93
600,46
606,1
647,46
700,41
800,29
900,1
1000,12
1076,1
1100,1
1188,1
1200,1
1243,69
1600,1
1700,1
2000,2
