quantity,count
1,57
2,26
3,110
4,13
5,154
6,18
7,13
8,15
9,10
10,58
11,8
12,7
14,2
15,52
16,7
17,10
18,34
19,52
20,45
21,12
22,7
23,14
24,30
25,20
26,15
27,28
28,20
29,24
30,345
31,3
32,6
33,7
34,19
35,4
36,4
37,4
38,6
39,3
40,19
41,6
42,3
43,2
44,16
45,2
46,2
47,4
49,1
50,15
51,2
54,1
55,2
56,42
57,1
58,2
60,7
62,1
64,8
65,5
67,2
68,2
69,1
70,5
73,5
74,9
75,9
76,2
77,2
78,4
79,1
80,8
82,17
83,3
84,1
85,1
87,4
88,9
90,8
91,6
92,5
93,1
94,5
95,1
96,14
97,2
98,6
99,17
100,11320
103,2
104,3
105,28
106,1
108,3
109,1
110,5
111,1
112,3
115,5
118,1
120,1
121,1
123,1
125,4
130,1
134,2
137,2
139,3
140,4
143,65
146,40
150,29
159,1
160,17
162,1
163,22
164,1
165,65
171,2
174,1
175,4
181,1
194,1
198,1
199,1
200,805
210,1
225,1
236,1
245,1
248,1
250,15
259,1
270,1
278,2
279,1
280,1
283,1
295,1
296,1
299,1
300,266
332,1
350,2
393,4
398,3
400,68
410,1
448,1
450,1
500,137
542,3
600,59
647,53
700,54
723,1
725,1
750,3
771,1
800,64
900,9
1000,26
1050,1
1062,4
1100,5
1200,3
1243,67
1250,1
1300,3
1325,1
1400,2
1405,1
1500,4
1545,1
1581,1
1600,1
1700,2
2000,3
2400,1
3000,5
3140,2
3158,2
4000,1
4150,1
5000,3
6000,1
6750,1
7497,1
8000,2
8017,1
10000,19
10097,1
